,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
11.98_913.82_11.98_908.87,TG 54:0 ,[M+Na]+_[M+NH4]+,KKBWDSMULWDHME-UHFFFAOYSA-N,913.8198_908.8665,11.9815,82842,4824,3918,2490,2247,8045,22753,15068,7008,3462,4383,3569,28962,3655,9344,6830,2692,3141,5146,3735,3847,3017,38727,3529,2143,3193,949,41617,1500,4190,2437,3295,3404,1641,5031,5257,1863,2299,2047,17527,1956,2456,2429,3840,3389,1993,78213,2159,3248,1946,2040,2884,2895,1962,19570,18205,29116,36937,19725,18767,17133,2480,3204,2779,3320,3702,2890,2498
11.82_927.78_11.82_911.81_11.83_906.85,TG 54:1 ,[M+K]+_[M+Na]+_[M+NH4]+,YFFIQXNTTVSKJC-NZEOUKRFSA-N,927.7797_911.8066_906.8508,11.8253333333333,709026,218114,287078,207133,124572,142812,203382,72278,136274,249205,111818,123634,114666,179164,265243,304452,203294,155235,258777,156258,230053,183181,265430,203157,151627,178534,89666,81102,156742,287387,199245,182991,205932,177784,281599,157605,139457,150038,163035,258964,210853,261120,196753,300203,227906,216975,494217,157231,188229,253086,152501,145534,243033,164296,85789,91206,94838,74028,90927,85121,83548,230823,269926,272102,318979,330566,303383,289758
8.71_888.71,TG 54:10|TG 16:3_18:3_20:4,[M+NH4]+,GHFJXTJADNBOOR-QIWLROPPNA-N,888.7097,8.714,19836,19385,11155,17287,21548,12040,11426,7348,20326,30656,7335,31945,10534,13206,15607,29389,13074,6529,29028,3440,12221,7967,18541,9677,12001,13830,50463,7774,14621,5227,18287,8257,5690,9513,7462,6135,9577,3287,8071,26220,5979,4660,4832,15000,16984,8582,15341,22879,6031,7651,7776,5015,8810,12739,5,6,13,6,6,5,5,15978,16325,16754,16251,16269,15763,16686
8.53_888.71_8.53_893.67,TG 54:10|TG 18:3_18:3_18:4,[M+NH4]+_[M+Na]+,MRPONKNNMCXCEK-GFQGFZLYNA-N,888.7108_893.6663,8.5255,167695,77684,62207,68307,47115,76536,50731,23045,42268,71103,19912,52903,31309,25558,56312,148952,64987,15254,84778,8744,24686,30859,33626,47711,46682,35728,55537,6109,34940,8847,102045,43998,16627,40070,34337,21547,7741,1687,6811,23671,6995,6320,4937,15265,45186,13330,20975,44102,16451,21417,18845,13055,25846,36984,12,59,31,14,14,13,13,42264,43859,43088,42405,43695,43395,43721
8.18_886.69,TG 54:11|TG 18:3_18:4_18:4,[M+NH4]+,RULZGSYWIMYDSM-GUPAEKITNA-N,886.6932,8.181,20331,10529,8626,9265,9283,10938,7649,4232,7320,14550,3188,11096,3672,4595,8632,22374,10661,2504,12026,1444,4050,4398,5257,6871,6967,5419,9558,1220,5751,1513,17055,7277,2953,6532,6048,3844,1949,617,1801,5116,1675,1369,1327,3510,7385,2581,4083,8287,3972,4378,3597,3114,4325,7054,105,4,140,87,4,4,48,7232,7250,7514,7160,7721,7057,7438
11.51_925.76_11.51_909.79_11.51_904.84,TG 54:2 ,[M+K]+_[M+Na]+_[M+NH4]+,WUUWGORPQFKFQN-XDVOZUNOSA-N,925.7629_909.7903_904.8362,11.513,4048198,1518500,1772528,2273316,935015,634308,668069,229701,635183,2272001,475628,829325,528902,1139146,1290994,4158687,1561486,898805,3742340,1184100,2186747,1404586,3892352,1132467,1822896,1462273,3081963,211579,3114507,3964259,2920198,1096290,1188714,2683476,1892763,601010,1636560,1590066,2689549,3924961,3197058,3484045,2653141,3850385,2428566,3179471,4098279,2154353,1629177,3803934,1375511,1010841,2724836,1317246,410735,388657,381453,410838,410658,414356,399158,2714650,2872785,2808279,3173385,3149042,2988783,2994786
11.17_923.75_11.18_907.78_11.15_902.83,TG 54:3 ,[M+K]+_[M+Na]+_[M+NH4]+,PHYFQTYBJUILEZ-IUPFWZBJSA-N,923.7481_907.7754_902.8259,11.165,6593447,4883112,4625037,6358928,3019544,1743196,1500272,526425,1665476,5479025,1187420,2703669,1417168,3468441,3246718,6603879,4299971,2844393,5638675,8271988,6676783,4177793,5523694,3003828,4852295,5164837,5425362,474026,6587377,10822326,4914439,3239212,3315575,6399563,5906948,1297665,6099461,8159044,8579566,7050128,8246967,9439016,8732891,9596799,5755664,7418402,7214973,5774611,5810237,7976520,4956409,4831090,7716965,4548045,2206468,1815697,1942139,2238119,2210938,2199041,2144561,7867702,7760527,7814941,8079606,7942776,7734535,7612067
10.81_921.73_10.81_905.76_10.79_900.81,TG 54:4 ,[M+K]+_[M+Na]+_[M+NH4]+,BRLGHZXETDWABO-NOFIOOQLSA-N,921.7314_905.7602_900.8064,10.805,7014543,3886534,5233201,6347015,3242209,1714947,2074856,703247,1884583,5923844,1521623,3337843,2225657,4013835,4334188,6935314,4671194,2346652,5086215,1753909,3911676,3217172,5372167,3046410,3543705,3361218,5067215,526791,4989382,5661281,5221486,2610884,3115293,5617024,3682579,1252916,2927863,2055093,3640980,4582460,2793026,2575765,2539757,2505443,4921111,4163528,4963994,4544974,3065311,4916392,3173821,2216519,4700373,3075422,2561109,2527555,2418959,2641681,2594035,2587812,2601728,5386824,5414017,5480630,5655508,5546844,5393114,5449575
10.43_919.71_10.44_903.74_10.45_898.79,TG 54:5 Isomer A ,[M+K]+_[M+Na]+_[M+NH4]+,OEJXMJPFOHYSIU-GRLFFVHSSA-N,919.714_903.7429_898.7909,10.4383333333333,7743702,5889557,5857465,6649415,3773987,3014833,2842070,916979,2455807,5622506,1644511,3863541,3067826,3856494,4497245,7017573,5480550,2044529,5603467,1890193,3579574,3607280,4735168,3830543,4293857,3172899,4839213,522957,5141593,4098115,5365048,3004352,2623742,5456115,4197984,1487168,1661696,785573,1744269,3786679,1208932,1255000,1097511,1624511,4211194,2714706,3500480,4238896,2487267,3373636,2471457,1730542,3375922,2981763,1089597,1005149,879138,1046534,1063025,1045514,1032119,4967143,5109273,5012008,5123103,4921449,5021701,5023472
10.64_919.72_10.64_903.74_10.64_898.79,TG 54:5 Isomer B ,[M+K]+_[M+Na]+_[M+NH4]+,OEJXMJPFOHYSIU-GRLFFVHSSA-N,919.7199_903.7437_898.7878,10.6423333333333,846641,677369,391343,579615,393878,296331,237209,141500,330770,985469,166093,508876,338754,377468,439672,1265101,501715,352844,1352086,210509,548676,394810,1195940,385757,633837,560597,1761720,144119,798942,458342,884968,360205,272859,645406,433352,219690,285126,180375,347686,1054620,237669,225792,257435,377572,598809,422088,697542,843980,335857,460430,360810,263853,494753,508594,280275,259564,242583,273561,278044,275572,271930,682052,689242,681779,715797,711370,692734,695171
10.06_917.70_10.06_901.73_10.06_896.78,TG 54:6 Isomer A ,[M+K]+_[M+Na]+_[M+NH4]+,HBOQXIRUPVQLKX-BBWANDEASA-N,917.6981_901.7256_896.7758,10.061,6263335,2985260,3303127,3664213,2269039,1751803,2112318,659930,1599108,3435903,1152255,2596840,2481953,2136060,2886981,5869848,3263575,1079323,3708289,641659,1400501,1606070,2851885,2073118,1904089,1525312,3368088,328732,2078818,1085268,4014771,1418320,1235527,2511631,1626779,820818,818125,321959,722032,1758897,471717,511094,458736,748890,2399005,1067924,1647016,2308658,1283245,1654037,1364804,970156,1450300,1800704,234795,221807,213136,225886,227480,229083,223881,2380179,2462073,2417615,2448878,2511699,2464865,2429186
10.18_901.73_10.18_896.77_10.18_917.70,TG 54:6 Isomer B ,[M+Na]+_[M+NH4]+_[M+K]+,HBOQXIRUPVQLKX-BBWANDEASA-N,901.7259_896.772_917.7004,10.18,2375085,1216643,937381,1118401,755882,661555,579121,233906,588214,1559134,283416,907939,561307,615717,859514,2784479,1034995,376794,2039851,246673,722272,615799,1431684,682455,842690,675235,2414380,149602,1097207,445127,1486780,563064,385367,968346,714406,319832,301032,144607,332656,1126056,219447,235708,209398,419186,787921,461791,740541,979936,387624,492992,394820,284733,574031,568840,46221,42231,44730,41893,43056,41845,41356,948478,965516,954014,958233,986280,966049,965518
10.27_917.70_10.32_901.73_10.33_896.77,TG 54:6 Isomer C ,[M+K]+_[M+Na]+_[M+NH4]+,HBOQXIRUPVQLKX-BBWANDEASA-N,917.6999_901.7252_896.7727,10.307,1614729,1563874,960169,1636075,1067420,566257,519420,371917,901306,2109077,430606,1442202,769690,1026408,1000263,2387016,1000546,881864,3275758,517738,1555815,946349,3644246,991995,1612602,1592576,4441045,341183,2108868,1036878,2459684,910432,896156,1931929,1028833,535316,1264899,633802,1231534,3495326,849297,796591,837411,1187381,2145602,1556229,2426303,2862899,1257164,2160816,1440293,994951,1725540,1914309,198856,79542,80110,73905,75073,82228,75737,2015504,2052778,2058617,2083039,2136707,2116010,2071235
10.46_896.77,TG 54:6|TG 18:2_18:2_18:2,[M+NH4]+,HBOQXIRUPVQLKX-BBWANDEASA-N,896.7727,10.464,1072853,756035,945562,1009835,525462,280503,281840,169672,400764,1361601,231089,891323,485812,877762,859439,1444924,811545,576728,1305572,153006,809075,756980,1591985,904621,1030465,1049856,1458549,178806,925872,284270,1850389,600232,590389,1051033,585194,295883,500718,188527,421436,1477209,265307,232574,239091,485664,1651622,810372,1298596,1792237,482948,793252,754489,348180,933083,946243,20449,18174,16778,18622,18412,17736,18028,1105370,1159367,1139751,1207797,1163116,1174901,1169292
9.79_915.68_9.79_899.71_9.78_894.76,TG 54:7 Isomer A ,[M+K]+ _[M+Na]+ _[M+NH4]+ ,,915.684_899.7126_894.7567,9.78466666666667,1540552,786756,619474,723732,542033,463037,462878,172911,405605,1140085,216604,680773,448593,446391,696884,1902643,735660,226559,989215,109032,332496,341390,717671,411895,439256,377648,1101449,104332,510944,164113,913263,323534,243764,502132,348094,198106,182505,68661,161069,496476,102863,108806,97254,222192,537314,234254,416385,558912,230978,295989,264064,180867,323742,383787,17805,16665,18917,17005,16857,17033,16299,547674,547448,546721,555816,555609,556260,554207
9.91_915.69_9.91_899.71_9.92_894.76,TG 54:7 Isomer B ,[M+K]+ _[M+Na]+ _[M+NH4]+ ,,915.6865_899.7128_894.7577,9.911,977252,791795,613017,824158,615780,359045,471605,277269,597626,1185483,299197,880237,593569,595646,732109,1358209,606975,388382,1309233,232717,561141,434814,1293971,584481,579220,630396,2079791,247035,683561,409676,1154695,391413,409131,659177,398108,275169,597519,281667,534512,1206013,330757,319102,358143,525318,1157604,568690,942171,1129547,521513,844864,647266,468577,643521,834684,28562,28457,30010,28542,28233,27582,27217,826154,833768,822035,838095,850059,832211,771264
9.68_899.71,TG 54:7|TG 18:1_18:3_18:3,[M+Na]+,NSPUDLQBMLPYGF-KXXVTNCTNA-N,899.7137,9.681,405032,345112,296593,272448,194729,290635,314427,95953,196034,198320,119361,185293,305891,148087,273606,309554,250219,87417,242588,77925,136965,176033,137285,224774,186055,152464,152902,36932,178919,91671,244918,178541,110835,198376,215627,114836,62668,21424,53932,112565,39772,45950,36595,72479,151017,79443,102127,157337,121253,123837,111468,98198,122486,152870,10802,10794,10643,10509,10611,10477,10640,195663,198617,192725,194934,204669,200876,204814
10.02_894.76,TG 54:7|TG 18:2_18:2_18:3,[M+NH4]+,NGPHUAVENUDDAO-JZRYOQFWNA-N,894.7567,10.019,765404,479849,516747,649686,396428,211878,206389,132780,359533,1033670,159845,775966,312785,502058,499613,1284223,446512,277746,1191290,111912,449403,356373,1265056,416917,555786,570508,1887708,146951,607308,194512,1204424,293812,268354,537971,291567,162032,323559,140719,266529,1032623,175444,154663,161612,337434,939599,409027,761369,993816,239349,376982,357639,175744,439017,490428,9688,8478,10794,8292,8497,8243,7919,640218,659953,661233,663123,675797,670828,645568
9.40_913.67_9.40_897.70_9.40_892.74,TG 54:8 ,[M+K]+_[M+Na]+_[M+NH4]+,BMPVTDWOWBNPJU-NYRSPQLFSA-N,913.669_897.6969_892.7407,9.401,999098,513659,368689,436507,348255,360396,268870,119350,270591,591216,131755,415729,201640,232269,367356,1116284,466410,119234,655108,66991,209198,217442,357602,268699,291161,223176,597863,73336,321182,98061,551134,230837,131027,304182,252551,128426,150636,62824,118901,293414,76489,73534,79077,146447,295391,134279,215636,329312,125118,168175,143735,102833,177567,225359,4473,4225,5552,4142,3513,3830,3800,316822,328061,327561,326503,331414,325434,333513
9.55_897.70,TG 54:8|TG 16:0_18:3_20:5,[M+Na]+,ZVGCGFFGDLIUQM-MWDDYPEHNA-N,897.6981,9.551,111153,126476,82340,91888,86965,72846,77898,47586,93954,98856,48042,102617,99021,71965,91979,102636,74503,46446,122727,28847,64007,62395,92954,82412,77175,80424,123275,37331,75340,39236,107317,56354,47130,71569,57602,42363,56695,24679,44920,104805,30696,30712,32180,61898,89647,53725,76400,106041,61956,68187,64467,57807,61076,83654,1449,1088,1611,1536,1357,1420,1380,87917,87042,88943,81534,93660,90484,93016
9.27_892.74_9.27_897.70,TG 54:8|TG 18:2_18:3_18:3,[M+NH4]+_[M+Na]+,IMPMCCKWZKDAGE-DJOODRDWNA-N,892.7424_897.6985,9.269,1156055,502149,459230,457775,316462,367788,429435,126975,268760,393392,164580,360774,487338,219114,409021,925267,438874,111587,475717,67051,149986,208138,271951,292955,256692,224001,379345,40879,235252,77816,621105,212087,130856,260624,193206,126879,83657,21863,63153,184773,47362,48563,43977,99268,268733,92947,161573,290666,154193,172440,164563,133206,166161,277811,4254,3688,4824,3478,3498,3656,3189,282104,288699,289543,290880,298045,294185,293310
9.05_911.66_9.05_895.68_9.06_890.73,TG 54:9 ,[M+K]+ _[M+Na]+ _[M+NH4]+ ,,911.6551_895.6809_890.7256,9.055,182508,175922,85644,112647,114023,101427,81670,49119,109694,162488,53575,153576,94868,70977,103832,204848,94746,40847,172692,33459,68715,60519,97817,68533,77735,74762,221516,35779,84714,43751,120090,53130,38206,68610,57668,34929,62386,21409,46271,128536,30961,30816,32386,66142,89859,48242,75723,115821,52894,62566,53541,48930,55329,80503,372,30,596,367,27,26,26,95422,96269,95950,97804,98521,96473,97918
8.86_895.68_8.95_890.72,TG 54:9|TG 18:3_18:3_18:3,[M+Na]+_[M+NH4]+,UBEIMDKGOYBUKT-FLIQGJDUSA-N,895.6813_890.7246,8.9035,351391,153877,134935,146260,105800,130565,116870,45871,88264,173432,48135,132956,94693,69730,133930,325001,142282,37403,159007,17852,51063,64549,82643,91229,85393,74138,128309,18590,74227,20701,203065,76971,40745,80884,65936,45644,23461,6686,20906,59899,16477,15122,13371,36364,94714,30736,53842,97730,40949,50364,49439,31404,53718,85933,255,455,679,198,388,244,223,92170,93856,95876,93327,94280,94141,95344
11.91_925.82_11.92_920.87,TG 55:1 ,[M+Na]+ _[M+NH4]+ ,,925.82_920.8696,11.913,111980,47885,66140,47181,34116,46850,64690,21861,43186,70721,31553,38708,36343,48716,70093,57712,52504,32064,47241,17403,36392,37970,35776,47606,30296,35688,13207,24827,29574,27656,45431,37607,47419,37030,52016,35762,15391,12567,15643,26380,14086,16587,14361,18454,33654,26454,50814,24518,26249,30829,21308,23758,37206,25270,5090,5357,6708,5971,5427,5332,5246,40128,45457,44670,50482,52609,48688,48047
11.67_939.78_11.68_923.80_11.68_918.85,TG 55:2 ,[M+K]+ _[M+Na]+ _[M+NH4]+ ,,939.7777_923.8046_918.8502,11.6793333333333,80361,45061,54393,48593,31052,32434,41600,14664,30640,74471,22128,37247,31726,37656,51136,79367,46891,26479,57003,18205,34273,31115,46799,34342,30537,32690,31382,12828,39427,37487,54557,26706,29005,38998,34660,19946,16479,13903,20408,34739,17357,19554,17626,24769,34557,27088,37966,33262,26426,34249,22591,19941,34515,24737,4353,3876,5365,4649,4144,3910,3896,40442,36948,38062,47665,48178,43888,43045
11.33_937.76_11.34_921.79_11.33_916.83,TG 55:3 ,[M+K]+ _[M+Na]+ _[M+NH4]+ ,,937.7619_921.7903_916.8343,11.3313333333333,131696,79027,77195,81397,54162,54661,53477,23560,51372,133227,32349,62992,64434,58702,79103,162775,78421,36526,103586,49247,57586,43548,80056,45668,49090,53382,78463,24594,75627,112542,74933,36432,35558,61656,47804,26234,34629,33343,53214,78502,45548,45686,44084,51973,59629,52296,71539,58135,45181,57449,35143,36251,52252,44050,6487,6308,7863,6662,6739,6481,6463,72698,75936,75892,78079,79022,74867,75251
10.98_914.82,TG 55:4|TG 18:1_19:1_18:2,[M+NH4]+,DKILRNXFVWECGW-JNKAIAEUNA-N,914.82,10.984,114755,56706,55558,58778,41144,41822,39552,16062,37646,107017,21934,53024,54803,41004,59546,147437,61820,23172,78109,20144,31241,27330,53924,35465,31178,31837,58431,12858,44945,42998,59609,23076,20784,39580,26304,16738,18885,13114,23765,43856,17523,17931,18952,23470,42557,25172,39521,39923,28319,35252,23290,22170,30199,30077,3393,3495,3330,3489,3502,3400,3543,46200,48514,47102,49341,48541,46915,46563
12.08_941.85_12.08_936.90,TG 56:0 ,[M+Na]+ _[M+NH4]+ ,,941.8501_936.8962,12.078,14999,1475,1442,927,712,2843,6276,3498,1875,940,1570,915,5652,1209,2479,2178,990,1043,1184,979,1121,1043,7953,1322,658,984,404,7924,609,944,744,1191,1078,723,1732,2169,662,681,743,3692,703,651,866,1116,885,717,9681,677,885,800,592,835,757,661,4553,3892,6065,3775,4129,4118,3569,967,1127,776,1035,1016,1056,799
11.98_955.81_11.98_939.84_11.98_934.88,TG 56:1 ,[M+K]+_[M+Na]+_[M+NH4]+,OCYFAHIHWCVZKS-FHSLLVMSSA-N,955.8057_939.8368_934.8815,11.9803333333333,168366,58248,78323,54930,37960,53303,88350,33995,54667,86037,43943,49266,49682,64963,101832,56029,61620,45908,53697,26611,47072,44132,55332,56508,31203,45491,13394,32970,32570,40699,50329,49569,63101,40337,67664,46475,18085,15555,18485,44461,16743,23120,16455,24202,49841,32005,89465,29638,33643,33741,31486,29818,48754,32460,32018,32492,38427,30781,32433,31899,30051,48258,59949,57082,69782,74858,65626,62313
9.24_937.67_9.24_921.70_9.25_916.74,TG 56:10 ,[M+K]+ _[M+Na]+ _[M+NH4]+ ,,937.6693_921.6979_916.7405,9.24366666666667,317087,259166,187933,218968,184747,158918,135157,82754,189335,358280,86370,324706,291570,180946,258669,406455,192083,94838,322299,52738,135934,107055,230423,134740,145572,155882,479311,62263,164811,65962,251644,98088,71814,123866,101439,63515,101279,40933,83225,266354,60220,56318,58910,124770,195592,95839,167266,243938,73695,91847,101699,59587,109149,155944,678,532,1994,741,705,228,161,191724,187188,191182,194732,194762,191352,193657
9.42_916.74,TG 56:10|TG 16:0_18:4_22:6,[M+NH4]+,MUVXTHRGYAQJKI-TZPQVLNBNA-N,916.7401,9.416,155960,166195,92844,141531,116043,78362,62504,57432,149419,260386,49034,245459,120919,122518,155463,241005,124365,80413,242521,26807,94476,67453,215610,86151,108737,121108,379737,50784,111113,40613,193111,66340,51723,93882,61834,47759,98391,37069,72227,233793,51929,46862,52117,103002,177758,84275,156999,228696,64564,99280,98735,62267,92696,147972,947,763,1666,727,572,772,528,139088,142695,142982,143059,143711,144439,145236
8.72_914.73,TG 56:11|TG 18:3_18:3_20:5,[M+NH4]+,BDWVZROSCVNRRG-YCJKXXQLNA-N,914.7261,8.716,104921,112327,44617,46355,41701,65331,50465,22348,38832,51804,26646,51378,97994,24334,54388,69533,48644,14809,51437,11599,18912,20115,27136,26992,25621,22586,47171,8203,25087,11686,48350,20365,11918,24277,19639,14780,18406,4108,10482,30828,8671,8579,8873,16203,26823,12473,17777,36135,18936,20968,18989,21137,17997,32936,4,5,11,5,5,5,5,31940,33178,33731,34153,34567,32908,32807
11.82_953.79_11.82_937.82_11.82_932.87,TG 56:2 ,[M+K]+_[M+Na]+_[M+NH4]+,PDEQUPGHMOMBFC-FYEHETCMSA-N,953.7943_937.8218_932.8665,11.818,765549,295512,453358,371129,208666,150104,243157,68241,169570,608911,151331,224737,159700,290373,413004,694090,334213,205416,459864,104196,264190,223727,561249,242490,235287,259551,269871,62165,326569,234189,625856,203969,298654,367543,284510,145933,137785,100722,171646,310706,137128,148422,121994,180089,386814,265497,396438,332125,183695,292274,210418,131585,343659,202047,25743,27066,28919,26032,27957,25715,25937,331127,375239,365436,409079,408945,368682,360624
11.52_951.78_11.52_935.81_11.52_930.85,TG 56:3 ,[M+K]+_[M+Na]+_[M+NH4]+,QXMHHXQBBKDSSL-BAQZNRHJSA-N,951.7753_935.8062_930.8508,11.5153333333333,1189458,450085,626235,738409,317026,211042,269483,93087,221374,1084708,195095,359562,275169,455133,564776,1457006,544061,294320,860803,284491,501113,308331,959844,295167,395451,412253,714974,84311,709137,849818,814901,255117,326192,665297,375748,148870,301740,267485,487982,838514,410644,401006,376431,426477,718524,568110,833003,546599,335644,638287,331655,222436,600029,358034,30211,28290,30036,30061,31013,30480,29373,674119,703659,689220,757714,749281,712213,712868
11.16_949.76_11.19_933.79_11.17_928.84,TG 56:4 ,[M+K]+_[M+Na]+_[M+NH4]+,YONCDTJKIZDSKQ-IYASBODOSA-N,949.7583_933.7907_928.8353,11.1746666666667,1299014,660165,900681,996058,559399,306150,359377,133662,338855,1579709,287435,690370,462630,729234,870405,1638199,850343,465600,785165,387263,570023,393981,802105,463083,474236,558405,729098,124489,678924,764066,861962,351164,410722,692523,413731,168263,418740,355130,554693,733006,373335,384160,422600,467685,866369,544586,763066,712709,494591,685609,505789,367759,675526,560721,78538,68752,73813,79273,78555,78401,76357,840663,847735,840159,887803,869121,845998,832636
10.86_931.77_10.85_926.82_10.84_947.74,TG 56:5 Isomer A ,[M+Na]+_[M+NH4]+_[M+K]+,UHEJWASONFIROS-YPSHDQQVSA-N,931.7747_926.819_947.7447,10.8483333333333,1660733,810149,839770,921876,507511,454611,436956,160455,388276,1372424,275923,671090,653387,593140,794944,1813518,889733,308651,1012061,265389,441149,365101,802476,436567,479513,424859,856049,127314,687784,586536,888231,310560,286654,640132,382374,187187,269579,158303,333872,674756,205469,217355,225438,291829,698283,379193,597956,637507,374794,530771,353578,272545,472449,461780,45347,41625,37327,46720,42612,42563,44627,690303,706016,709594,734289,741088,698744,697331
10.95_931.77_10.95_926.82,TG 56:5 Isomer B ,[M+Na]+_[M+NH4]+,UHEJWASONFIROS-YPSHDQQVSA-N,931.7744_926.8184,10.9485,452718,239542,219697,187795,113249,121386,131584,41917,107006,299760,62449,142151,178440,144708,194122,506663,215281,85993,337637,54726,133180,107459,274532,124148,147072,137725,288515,39621,195192,105216,266553,98117,84966,177075,121945,64294,61405,36153,61492,185112,46188,48163,53157,76441,149965,95221,142006,163496,79138,99318,81295,61035,110231,108917,50475,47134,47846,49387,48571,49220,49621,169633,196994,179128,203182,187820,180998,186471
11.05_931.78_11.06_926.82,TG 56:5 Isomer C ,[M+Na]+_[M+NH4]+,UHEJWASONFIROS-YPSHDQQVSA-N,931.7753_926.819,11.056,188555,149293,105130,113195,73400,70185,61797,31663,67502,208009,46020,94050,135102,81676,130692,226658,124174,84363,211048,49579,110971,83982,194682,81329,110935,103972,200214,39877,138114,112912,144754,71796,59069,119544,88424,48423,50937,39452,64220,164069,50367,49972,64848,69737,108569,77435,132002,138213,62324,105466,72811,51172,100462,88409,70354,67512,66196,72239,71522,71820,70820,124591,131318,127041,137294,140634,132352,132477
10.77_924.80,TG 56:6,[M+NH4]+,PSJFHLLVVYEOMK-SJRZSOSMNA-N,924.8035,10.773,652863,513032,430233,568499,289658,142057,127427,71214,207807,776375,112553,423311,236552,366948,423371,727372,409060,290101,807319,135396,533538,302969,885161,295603,484035,486127,951197,69502,619560,309265,622529,272294,264831,592825,311963,109841,291677,168397,308937,820881,244401,217014,249080,346837,561242,401845,624745,706308,296309,498598,358897,208053,529579,472622,63201,59550,125198,54310,55785,60158,55565,624235,635384,642193,664417,642443,635866,625457
10.64_945.73_10.64_929.76_10.64_924.80,TG 56:6 ,[M+K]+_[M+Na]+_[M+NH4]+,ZTNDRFCABXFVMY-WJTCTALZSA-N,945.7315_929.7593_924.803,10.6416666666667,803913,783752,457975,599283,347078,315803,249381,130855,312648,1134267,174554,574004,586785,414478,579092,1258452,581009,360265,1297544,290395,594690,380923,1147463,368342,594874,553226,1720577,142537,814721,599409,822001,334094,260120,623102,401482,186312,317452,228673,427239,1105054,274380,271286,326973,400332,577987,431362,725104,805075,278772,407863,324860,217259,492078,446809,127194,120404,117409,133977,130780,128282,127465,690927,702003,696080,726119,720160,696045,706113
10.28_943.71_10.28_927.74_10.28_922.79,TG 56:7 Isomer A ,[M+K]+_[M+Na]+_[M+NH4]+,DODZUDCYRVWEOJ-GKZBLMSTSA-N,943.7145_927.7429_922.7867,10.2803333333333,749557,638834,473957,1240411,407709,277671,316247,235510,392178,1110385,243051,1009457,706090,404994,793495,1052940,547043,304028,760290,170508,402148,535763,785589,367709,355423,362586,1028530,154408,451652,330856,642390,237988,219673,441441,275656,182123,310585,480447,921386,904024,585282,212029,239045,307252,638581,322707,1582013,1513542,269448,1118689,332985,461995,416001,1011122,127629,122570,118696,127184,127422,127376,124784,576983,504169,560394,509805,562637,554346,515615
10.48_943.72_10.48_927.74_10.47_922.79,TG 56:7 Isomer B ,[M+K]+_[M+Na]+_[M+NH4]+,DODZUDCYRVWEOJ-GKZBLMSTSA-N,943.7181_927.741_922.7888,10.4776666666667,3920964,3015058,3407310,3567772,1614312,1198398,1056769,596634,1380112,4426995,928846,2873268,3215388,2940754,3940685,4647295,2871953,2111984,4186243,783865,2945521,2341841,4900711,2473122,3218742,3256748,4826850,602507,3616395,1401906,4786653,2064897,1928300,3753661,2327228,974395,1580198,823652,1448947,4485685,1071465,940270,946552,1562829,4175273,2516427,3865649,4703929,1392286,2377644,2203312,1009103,3188847,2653372,101294,87353,80388,93651,89630,92646,90263,3746255,3859778,3834282,3970104,3856965,3876915,3848444
10.10_922.78,TG 56:7|TG 18:1_18:2_20:4,[M+NH4]+,WSZCBVABHNUPSE-TXLSFYGYNA-N,922.7828,10.103,794733,355633,463924,455402,230023,275665,254042,91776,199621,738602,139703,464573,565240,380540,554745,882752,475837,188437,455134,63361,189483,168109,537156,272911,225551,255009,621518,81418,237264,98262,656888,153019,157425,294557,131677,87620,157878,72981,129067,396752,83816,75680,83151,135856,572034,185534,378112,466540,148096,253596,239058,118975,242005,322403,9233,8353,9715,8812,8283,8409,8183,353202,357039,351721,359341,366393,358670,353879
9.90_941.70_9.93_925.73_9.90_920.77,TG 56:8 Isomer A ,[M+K]+_[M+Na]+_[M+NH4]+,UBGUHMDKBGQUND-VPFWBQFRSA-N,941.6984_925.7284_920.7715,9.909,1154917,922089,713999,940381,588118,398972,492272,254668,550338,1484969,333055,930123,920295,669519,955922,1599744,750723,412151,1071669,201953,499422,384441,1167771,482808,464913,517163,1623530,196176,596496,352187,940450,352210,353243,580580,366306,222005,529057,252436,467829,967226,304884,298129,333590,430781,975766,480711,838796,922904,400157,699421,552146,363823,606255,703888,32636,31309,32632,31821,31974,31618,32866,757008,774551,770117,778674,794556,766034,689280
