,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
1.97_568.36,1_LPC 17:0 iSTD ,[M+CH3COO]- ,SRRQPVVYXBTRQK-XMMPIXPASA-N,568.3635,1.971,365815,382852,398746,353151,357946,346008,351462,330343,341670,365507,348083,344721,404080,361559,360735,373130,353020,358459,353553,340218,346895,394280,341901,361223,348541,334956,345284,341564,326880,381984,357669,376558,326426,360845,340324,352042,368622,382176,342230,363594,318197,342286,357739,336635,377722,374394,381953,321868,317599,343095,368203,351467,328775,324100,313146,357113,417605,377991,229850,235107,237900,356638,342460,347791,351467,356233,358216,360916
1.42_464.28,1_LPE 17:1 iSTD ,[M-H]-,LNJNONCNASQZOB-HEDKFQSOSA-N,464.2797,1.417,244551,237853,258695,233250,231125,227314,247185,217752,223234,243316,231080,225574,262708,249165,237018,256402,234959,241778,229947,234151,240594,258163,227595,240129,223275,217967,230197,219283,216269,264897,233324,255821,217418,241848,228417,235221,239393,241352,230959,242643,211309,226392,239637,229262,248414,244254,260276,215424,210205,221162,246745,239022,210967,212140,228004,226811,263578,241167,237470,250640,253049,224324,211884,217483,231072,231432,238033,242042
3.16_403.31,1_MAG 17:0/0:0/0:0 iSTD ,[M+CH3COO]- ,SVUQHVRAGMNPLW-UHFFFAOYSA-N,403.3088,3.16,3077465,3180507,3275868,2912268,3028116,3096581,3177344,3013116,3049711,3207406,2917862,3015694,3405041,3338676,2980568,3285402,3114650,3090899,3020322,3021538,3160368,3277486,3097870,3099674,2848304,2967648,3030102,2933584,2790991,3396090,3076226,3248986,2871165,3142316,2885222,3149507,3094920,3087375,2953247,3222388,2831558,3012689,3071038,3026789,3063279,3194949,3352928,2880000,2796180,2987046,3187810,3069602,2914888,2834521,3960673,4083957,4674587,4211268,4344918,4289024,4386161,2978806,3010878,3099213,3142290,3195964,3266713,3383731
3.66_694.47,1_PC 12:0/13:0 iSTD ,[M+CH3COO]-,FCTBVSCBBWKZML-WJOKGBTCSA-N,694.4672,3.659,24595,24497,25616,23210,22639,19630,21489,19611,22258,23889,23249,21104,23204,20023,21150,21688,23185,25184,22191,21509,21881,23440,22832,24640,23595,19714,20385,21449,21022,22304,23300,22113,22506,21419,20919,22857,25311,24125,21134,21749,21479,22490,21885,19908,25364,25144,22872,19489,22643,22916,22255,21743,22207,20200,35525,35246,39965,35786,31912,31948,32838,23786,23272,22622,23354,21704,20956,21172
6.62_718.54,1_PE 17:0/17:0 iSTD ,[M-H]-,YSFFAUPDXKTJMR-DIPNUNPCSA-N,718.5407,6.623,830209,719666,836311,603680,777305,778718,928394,821226,769791,744202,619061,767807,917301,1000528,812026,919752,843720,710406,749270,758523,852496,879811,597114,819851,605546,731024,817944,729977,723901,930300,701654,999469,663234,834051,839338,677236,760085,728525,759511,1036211,708601,747226,895144,858325,976593,841421,1037624,812242,647912,652157,976472,926002,623897,832047,1122611,1193803,1369486,1202105,1168453,1174888,1193392,340758,422394,493716,513632,601694,613554,628850
4.43_828.56,1_PI 15:0-18:1-d7 iSTD ,[M-H]-,,828.5632,4.43,4617,627,22212,826,17551,14540,17581,15063,3085,19037,183,16746,20308,16226,15556,16415,16790,962,15750,14893,15143,16312,15815,2075,785,14260,14711,15039,14994,17089,19253,18527,1853,16381,15524,2674,1245,378,15435,15991,15984,17320,15443,14978,17353,1458,15061,14057,726,3583,16715,15980,1375,14541,212,3056,31537,29456,3190,3372,3355,93,3016,17820,17070,16338,15966,15297
5.39_775.60,1_SM d18:1/17:0 iSTD ,[M+CH3COO]-,YMQZQHIESOAPQH-JXGHDCMNSA-N,775.5984,5.391,452002,566646,514793,514713,478495,405158,414772,401211,464785,500441,537504,442418,470197,439786,432163,443616,472285,548288,525132,450664,423089,445956,469034,512237,504869,428968,460348,447972,418782,527984,495610,447111,488533,455962,488051,493979,496539,550347,492800,489018,503881,471941,440726,429587,524747,545697,452200,463253,521929,512862,500173,395265,579481,446538,1031794,951359,881094,734658,567689,562949,562815,538235,532694,503656,465234,455895,451382,450890
5.94_536.51,Cer 34:1;2O|Cer 18:1;2O/16:0,[M-H]-,YDNKGFDKKRUKPY-ORIPQNMZNA-N,536.506,5.939,259246,298110,146777,282557,602024,281789,274108,363974,292865,244084,240338,153028,366366,335630,243255,264787,260094,440033,514459,232206,260102,221839,103098,175953,243038,482120,460806,443264,249129,264369,396755,149431,281690,183513,354143,301314,204896,177756,220580,339663,198364,190933,171166,110738,592908,200059,218511,395888,258386,161610,218192,141810,497938,304038,12721,14204,15288,14326,16471,17138,17330,321736,287856,285009,279907,267474,273933,265044
6.16_610.50,Cer 34:2;3O|Cer 18:1;2O/16:1;O,[M+CH3COO]-,MTMFYNCXHZGCTK-QSXOLRLTNA-N,610.4985,6.159,1754412,3282114,1831319,2806434,2444091,2257611,1826971,2206591,2084105,2402921,3591718,1208478,2413479,1799027,1794716,1928013,2138136,3587400,3445518,2020497,1885452,1605537,1582606,1808786,2396739,2496178,3101719,2579742,1737183,3212944,2348442,1533754,2141553,1649321,2442344,2015433,1685642,2626802,1972831,2297773,2441305,1492347,1383794,1474593,2392778,2016537,1334496,2548344,2812391,1428936,2190740,1194805,3197986,1708488,154,584,477,818,903,1200,1301,3370509,2541145,2197681,1976532,1898415,1820092,1786574
6.67_564.54,Cer 36:1;2O|Cer 18:1;2O/18:0,[M-H]-,VODZWWMEJITOND-OWWNRXNENA-N,564.5371,6.666,730225,1061684,597077,869960,995461,732636,969937,1275622,792042,791333,706321,576902,839906,1404533,657550,744442,912791,1130546,1544457,920940,821455,617267,427901,680527,833894,1198589,1457965,1340924,754750,773812,1279754,650145,944894,610770,1161913,848379,739736,837744,1018113,1068403,939839,874389,551679,611002,1952041,866835,929979,1120521,1031395,507237,803070,630442,1206177,927724,2733,3408,3978,3725,4085,3968,4130,1001307,933379,949395,920608,925806,951564,952169
