,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
4.56_869.56,PI O-38:5|PI O-18:1_20:4,[M-H]-,VKRDRDRLFSZIGY-JZELYBSLNA-N,869.5558,4.556,12768,669,8294,612,9626,14651,7791,8027,12982,7138,3,17719,5802,5682,7928,17278,6172,948,15058,21131,18300,41959,39560,18206,1028,17116,19986,13596,38948,14894,16713,17403,1679,15426,13807,22527,4602,277,16260,13894,16345,28121,32130,23814,10544,3405,22050,10398,1077,26175,12418,21529,1077,14628,129,298,152,1041,102,134,147,59,18303,18092,18773,18534,18181,17803
5.10_897.59,PI O-40:5|PI O-18:0_22:5,[M-H]-,YENIPJIBADSGOP-MRYVCTGMNA-N,897.5888,5.101,69326,27759,50332,47796,36284,93509,99503,95104,42350,55331,11294,128090,49950,49761,83660,131947,32273,570,37166,123544,173774,305489,193979,39220,81816,100756,104539,82933,144830,60868,58569,143447,27380,120375,59256,70773,55158,42359,47172,38068,26455,69284,151841,147009,21532,16667,143239,23948,27411,42970,42230,151731,3758,72874,10823,12120,18545,15313,15315,15710,16298,78217,26471,62130,96563,131249,139668,147453
4.94_895.57,PI O-40:6|PI O-18:0_22:6,[M-H]-,CPWBMXQIYVQUOY-NPBPTTFKNA-N,895.572,4.936,52200,3237,128516,10014,29636,36029,64170,51350,28004,39739,1680,95643,55492,50001,86381,83253,25907,3776,58127,97835,94813,149268,194381,30622,5471,92064,47820,74557,115029,43569,73468,95135,26259,133607,59433,121232,1269,2833,48206,27553,48134,75567,95676,90638,31993,12135,101101,40747,5353,36538,32978,84809,3976,55657,120,221,244,334,161,115,104,2617,27198,83338,82553,83876,85460,84917
4.82_760.51,PS 34:1|PS 16:0_18:1,[M-H]-,OIWCYIUQAVBPGV-ZCXUNETKNA-N,760.5072,4.824,6846,729,11809,466,10635,56438,48885,34558,8282,14664,5,52944,50299,36096,50140,51834,15106,210,37627,44004,43497,51743,47445,4644,1085,42798,37727,38004,68383,36227,14573,48445,1051,51856,38756,8769,4044,454,8922,20943,5721,7563,46209,30945,7258,1962,30911,24535,425,3499,27019,40729,6,42864,410,136,208,38,490,274,420,1449,3575,16102,44640,42248,42626,41296
4.19_806.50,PS 38:6|PS 16:0_22:6,[M-H]-,PWBBJQOVCTWPIM-LGFBOSHVNA-N,806.4991,4.192,44816,10757,51003,11177,117556,58100,57053,72574,59896,75424,9480,57535,70653,72711,42692,59266,54010,9848,99849,66545,63302,46166,52419,74259,10625,75975,65867,85426,57125,90714,67665,60699,15060,62762,68485,59492,44843,10104,51580,81165,52732,47591,64441,53314,71532,12746,46684,83772,9380,49975,83427,46549,9713,69361,112,119,236,9,178,124,94,10142,60876,62111,64897,61776,63534,63828
4.04_806.50,PS 38:6|PS 18:1_20:5,[M-H]-,SICLAUGYPNMTPU-HHHWHCSPNA-N,806.4983,4.043,19183,6075,16817,7758,10454,22890,18912,13720,17700,15140,3794,20314,13195,14540,16253,20133,15525,15646,19769,18679,15438,16225,20459,16717,4021,19323,17445,14479,23296,12801,15961,16626,19221,16762,15808,17777,24836,4801,17296,17791,17536,22864,26298,24002,14445,24030,23428,15235,5323,27378,14157,30502,11446,21931,9,124,97,8,10,9,9,3382,18178,18406,18657,18965,18125,19262
4.93_836.54,PS 40:5|PS 18:0_22:5,[M-H]-,,836.5437,4.934,123588,162727,123159,165242,179294,177350,201525,196122,114694,177315,217619,144555,163549,221346,135452,195572,145714,167464,209902,171758,193864,137544,139047,143477,163020,217177,209042,182770,159599,222799,153547,189374,103217,167685,182225,132687,98179,167523,136052,220978,155547,129358,222983,184437,181331,104950,177437,257899,122923,132243,197974,167017,165840,186798,581,724,537,865,662,434,622,212210,119389,146913,166134,171196,188159,197183
4.75_834.53,PS 40:6|PS 18:0_22:6,[M-H]-,,834.5317,4.754,4122229,5427432,4327857,4075372,6243237,5551412,5672052,6195967,3697588,5891453,921160,3679350,6206931,6914986,4352414,5324443,5395199,5755276,6837207,4585342,4674935,2671513,3070192,4072803,3066548,5436934,5829567,5545515,3609041,7291831,4720062,5022983,3529242,4393913,5660098,3500788,2816589,3712268,4438127,7527399,4228860,3208774,5295338,4765975,6630486,3254377,4395613,8237799,3520940,3617832,7978565,4035844,5650597,5685232,692,1416,2324,3052,3880,4368,4802,696805,4178523,4630634,4900370,4971814,5135380,5163923
4.23_832.52,PS 40:7|PS 18:1_22:6,[M-H]-,FZVOBDJBRIEKPS-HILQMKNTNA-N,832.5154,4.234,171869,24502,169814,31193,116301,146339,168481,142810,126514,135008,3699,159624,184723,191385,182494,199845,150679,25214,173578,165566,159780,151019,161508,180652,23072,166383,130258,112638,189255,133907,134233,196300,190360,216383,185187,145951,109166,13152,122345,125900,115813,132255,161237,148543,100760,170334,161661,125299,23146,183872,141148,187324,22916,150107,14,15,12,13,15,14,14,4369,147520,150959,159438,158404,165391,169191
3.82_854.50,PS 42:10|PS 20:4_22:6,[M-H]-,WXLDEVYPZQFZLE-GGLIIMCGNA-N,854.4993,3.822,13893,32650,13478,12229,41204,29808,19768,31060,28399,27881,19933,24917,21752,25716,14076,18762,21164,25735,45425,29155,24800,18057,21082,23102,12208,32768,35615,39431,24901,37506,17936,18950,14608,18340,22263,14970,19419,10294,21510,42291,23352,23094,37624,29670,23639,21617,26304,37864,10626,17172,20483,18571,20750,21796,5,5,4,4,5,5,95,22052,25418,24815,25709,24979,25474,25359
3.60_852.48,PS 42:11|PS 20:5_22:6,[M-H]-,VNDWHCDGJIEOSZ-MUKNYFFKNA-N,852.4831,3.603,47576,92465,49604,64917,102412,88503,73876,109354,81730,93981,74372,69654,87016,43570,39079,54852,73398,93855,130433,70492,31571,37619,44446,54143,46147,34365,38134,126065,42819,86891,61305,57724,50347,46687,65171,44250,56208,72447,49389,106766,60745,48561,77240,62971,73268,44145,23392,49615,51311,49647,87343,59944,63791,93220,5,98,4,139,146,102,5,70191,68066,67252,67829,68102,69426,69972
6.72_870.63,PS 42:2|PS 18:1_24:1,[M-H]-,ZXTADEULCFDMTE-BJSHFZDTNA-N,870.6264,6.719,182136,119223,193727,110075,30814,66740,69366,71129,107236,78457,65756,126842,91512,60631,133815,136777,108378,44105,76375,211061,261264,267165,337361,197772,216264,147499,186955,60607,403185,139344,169858,277975,271658,274940,164685,189112,104172,82971,82097,48932,101646,110344,127254,106285,35742,98839,103728,30432,103709,109752,64488,139343,22124,67839,1151,1121,857,13,1064,14,14,132455,135618,146786,152418,152075,150385,150637
4.71_856.51,PS 42:9,[M-H]-,RSJVUCODPDQYRU-PVFFKTCKNA-N,856.5129,4.713,120007,19876,129041,22916,171406,179956,137305,167840,138787,179496,2050,138871,170751,169317,137376,173486,151080,48126,219154,165044,145569,130157,141157,142785,7042,197487,189101,175689,145380,236279,154049,142789,40960,164408,208139,144480,32666,6574,164890,225460,174961,127693,176708,164660,181130,134196,159480,264439,11611,79900,227280,147991,76377,196983,103,2,2,170,607,431,614,572,161488,164337,165485,160281,162894,162636
3.85_880.51,PS 44:11|PS 22:5_22:6,[M-H]-,LIHIQTWQKAGRIH-SUDBCHAPNA-N,880.5142,3.849,232192,150940,231547,123041,377075,278420,301328,351319,271521,374455,139348,253023,338466,390447,239129,280270,316321,335050,396132,256528,269018,172627,205214,264398,98697,284974,300185,335458,214728,368816,257955,262623,232043,231382,294636,217698,194196,114876,203518,331908,230622,187283,278002,234688,280076,193902,204093,362626,97566,208314,306994,190575,281663,248122,9,9,7,8,9,92,9,122614,283841,269350,271762,262891,264697,263326
3.71_878.50,PS 44:12|PS 22:6_22:6,[M-H]-,RJCZACBLQGCNCW-GZSOIYOPNA-N,878.5005,3.712,3582038,4127354,3853333,3647226,3813881,4121293,4916490,4557014,3075667,4485512,3899342,2684142,4744833,5170209,3494793,3913107,4308576,4157691,3663908,2705655,3126231,2012117,2029368,3323486,2806075,2777267,3465735,3830425,2387848,4211713,3406833,3747308,2811530,3134642,3478147,2696627,2185367,3366483,2967284,4803640,3150061,2346311,3085821,3170071,4458725,2597912,2465620,4284294,2644980,2507062,5375419,2739367,4010317,3519143,9,284,830,1221,1673,1604,1887,3309108,3331409,3467677,3617743,3560478,3674377,3629917
5.43_836.58,PS O-41:5|PS O-19:0_22:5,[M-H]-,SVOIJIISNRQETJ-FWJKHGHKNA-N,836.5805,5.427,14,23,4068,12456,20,20,15,18,6542,20,18441,16,19,19,16,19,3604,21,24,18,15,15,2524,17,18,21,20,19,16,24,17,16,17,18,22,17,2709,19,4056,23,3001,2581,19,18,20,2529,17,27,22,3287,23,16,27,21,19,20,553,18,20,19,19,22,20,19,18,17,17,17
4.08_778.52,SHexCer 34:1;2O,[M-H]-,ULLLOZCYWBSRHC-NXVVXOECNA-N,778.5156,4.081,379669,820,72873,13720,79446,442467,242248,113710,180016,107268,2454,141079,151134,35220,312665,393472,178983,8097,49357,62207,84384,450192,66329,16374,3796,124273,59631,123127,430802,79207,212545,93874,8613,74878,57242,368425,42050,1831,36380,45082,55320,160057,306390,79201,32439,10627,233666,36193,6317,369122,89172,295762,1242,176165,248,1255,9256,9444,3466,3079,3030,2189,154068,164312,171540,172374,173677,169949
4.68_806.55,SHexCer 36:1;2O,[M-H]-,,806.5471,4.679,191235,220654,366884,229231,123552,22579,31301,25402,160082,121888,173231,130720,24924,12334,193501,30454,189425,104767,58303,109792,17994,27029,158118,165523,170038,9791,16734,102807,125221,25319,122526,24848,135110,28991,19489,157345,262855,219508,183469,24278,160557,217059,209106,46602,113129,252274,27636,3520,135436,193880,26184,38314,83549,26337,1171,638,77,117,191,815,903,143748,152766,161661,170031,33025,34874,17359
5.79_862.61,SHexCer 40:1;2O,[M-H]-,VKFRNJFLFNOADJ-DQRAZIAONA-N,862.6095,5.785,1135123,359702,1068270,132366,478521,812000,932114,590952,1175957,578763,36161,1276709,843063,325830,1085342,787381,985428,306555,286122,885994,1131759,1552226,1234378,725267,85840,621287,597003,550389,1256406,577863,763737,1055270,671881,1050637,625366,1009759,831525,39497,656193,369747,560742,840831,637881,749870,270408,655923,700288,165524,422809,761525,437230,979319,197901,578730,846,1792,2140,2347,1143,1151,844,13526,594181,754871,811493,816514,818416,765991
5.15_860.59,SHexCer 40:2;2O,[M-H]-,JBFULUYENICDCN-VYEFPUSRNA-N,860.5938,5.149,79091,1959,87440,4222,201863,545560,472400,455276,64744,395441,646,662980,528823,242148,612654,621562,131785,505,122265,317011,490458,694929,373696,23454,1896,244643,269670,217088,466707,231691,327107,437816,2911,372841,248018,63093,18674,367,228409,146483,10712,66335,304152,336533,124702,7840,327482,78537,1116,20775,173065,500317,1071,242769,620,377,421,274,345,702,540,9,12293,370228,395834,438470,445456,489623
4.70_858.58,SHexCer 40:3;2O,[M-H]-,IMYWPXLUOVUCMS-TVEYHFTRNA-N,858.5774,4.699,62609,340,69165,458,33293,72702,39823,57990,48446,43051,12,73454,56568,36463,76530,63984,53912,444,15329,23986,30870,42053,23562,32713,9,23326,21488,44209,38676,24440,34890,30751,1089,26479,19674,38951,3092,10,22669,16676,19701,28768,46763,31951,14099,389,29813,10297,11,3043,18207,45378,13,36785,963,293,619,560,459,450,367,11,33990,39450,41245,41760,42403,42697
6.07_876.63,SHexCer 41:1;2O,[M-H]-,DPQIDKHVRQMHNH-DQRAZIAONA-N,876.6253,6.068,244791,71343,232672,95697,103559,234591,233865,168671,308273,142505,56955,333265,222570,96784,304099,212225,225030,65988,60518,185584,244333,379472,207747,130500,99252,164573,121380,190284,294859,131387,187910,226372,78243,203802,110560,250914,149014,36223,169450,108634,150949,206116,262018,250403,75775,88190,225988,45529,54303,130406,102773,383689,32513,191216,10,397,8,563,226,10,180,53862,93453,179556,197650,211678,215410,205267
6.34_890.64,SHexCer 42:1;2O,[M-H]-,,890.6417,6.34,668543,15561,350515,21328,514939,2853384,3461308,2202452,254016,2786527,11056,1384785,3035268,1542133,4282357,3009888,557068,17827,301760,3923864,4479151,5352265,1214582,235890,18020,2634278,2324625,2697679,1670620,2575661,495894,4341021,72033,4554797,2456203,308659,414714,11302,604031,2289082,241643,565495,4069969,4288633,293444,66839,4011348,833349,22066,138377,2578748,5175854,11252,3464042,192,1481,866,1918,972,1015,1409,10689,52039,511546,1117924,3526030,3499586,3320694
5.71_888.63,SHexCer 42:2;2O,[M-H]-,CCKQEKUJFDQKKL-VYEFPUSRNA-N,888.6262,5.711,99454,7837,120646,8197,157373,1958003,1564048,1387655,105997,259876,4780,615140,1996356,985954,726398,2111572,242253,6395,224292,2646710,3227647,4084753,592285,63671,5563,1871096,1795261,326321,1056257,467360,302428,3143818,15255,1122195,672282,166691,67975,2846,345078,1081883,129389,313795,2185433,2513955,124604,17534,2331674,509849,8426,51047,1348683,3490675,5847,1724710,118,221,385,758,1298,1530,1254,2247,25894,322045,865134,2411500,2482554,2377224
5.27_886.61,SHexCer 42:3;2O,[M-H]-,RTQHATRETCCPBK-KFUQXHDGNA-N,886.6099,5.272,237119,49353,284726,37199,172590,294161,224019,270511,303742,237614,9209,550244,300150,173028,447557,297026,270126,149116,58382,166049,175595,321475,197782,189345,11567,156374,99041,360726,224240,115258,187756,231148,160773,179283,107057,235941,419548,21586,202457,113497,145259,227638,409878,411295,83465,159112,307645,63595,53230,266933,141504,521049,54749,427119,202,427,1224,1870,927,876,940,3159,190415,235694,261236,268186,261975,251771
6.01_902.64,SHexCer 43:2;2O,[M-H]-,XBGPBAHCKSNLRH-TWCFYHPSNA-N,902.6399,6.012,45095,34877,58828,48039,29128,58585,41767,35983,51267,47029,33323,88132,48508,24496,64003,50814,51971,24344,2243,56417,62562,94246,72586,33974,56942,49735,37557,44647,100141,35481,56075,65647,29665,56846,33307,73362,36851,25970,44469,28350,20842,28042,66323,64304,22172,30045,55901,12110,26000,33678,28634,94515,12431,48946,4,4,3,3,4,4,4,36897,31712,56361,57355,55891,55603,53851
6.97_918.67,SHexCer 44:1;2O,[M-H]-,XBBNRGVDWIXPAB-DQRAZIAONA-N,918.6724,6.97,445030,67377,449576,80307,184978,204949,243372,126805,589729,217662,1062,363647,232247,99858,343711,200597,345528,81453,107491,322419,383400,513203,530285,616103,124383,204359,167605,262468,550795,187140,435589,361048,221660,391259,212467,687684,967727,57385,362321,151094,403015,615336,401428,361917,140251,284883,363346,52431,851004,855392,200254,510310,215806,304697,194,182,87,422,279,258,3,29479,467759,354312,292029,276231,266065,243466
6.35_916.66,SHexCer 44:2;2O,[M-H]-,CLLSBMVVPNIZAT-VYEFPUSRNA-N,916.6564,6.354,705193,522325,760621,822540,270383,338805,301760,209500,878044,411273,52890,764897,373818,155530,540949,316403,545074,454760,172364,478110,488305,606572,949483,750353,261065,311206,270238,369163,931309,302382,614330,535242,936688,573612,330523,840344,1088642,617440,509743,203982,528439,832353,493549,461246,216229,1061077,416220,75097,726236,975184,295957,588208,269669,395513,105,4,133,116,126,281,247,60262,717132,614484,502421,422442,390415,356568
6.26_932.65,SHexCer 44:2;3O,[M-H]-,,932.6504,6.263,32194,24600,33277,16331,15999,35255,27070,18692,49037,32688,7631,56575,28737,19748,39518,40220,33308,15961,19606,55001,71285,97451,69078,43985,23431,22684,38212,40846,94195,34343,52403,74092,50183,65940,36213,50748,54411,13898,36269,24036,28662,49612,53468,48547,16814,42853,50912,11415,42904,57663,30777,82305,18528,41722,149,223,186,109,160,206,97,7936,32797,38795,40943,44442,46385,45281
7.53_946.70,SHexCer 46:1;2O,[M-H]-,JBBXJNORDXHSOR-DQRAZIAONA-N,946.7033,7.529,28436,5761,24270,6885,15876,21016,24136,10346,31609,13137,1707,30202,19835,8118,26546,21435,26061,8109,11259,30012,38737,60043,47640,29436,10210,23831,16851,21941,55469,17118,29273,34506,32580,35558,20089,40481,35127,4474,19201,12255,18817,32265,31291,23441,10081,32323,27311,6756,11573,37194,13889,37733,8000,23884,198,290,247,232,464,421,270,2638,21725,22185,23802,24459,25416,25087
6.92_944.69,SHexCer 46:2;2O,[M-H]-,DAJJTGLXZSCXQO-VYEFPUSRNA-N,944.6876,6.919,47023,7470,44350,8516,20996,39304,33302,19427,58874,25638,2154,59752,33263,14665,47219,45517,38386,4462,17969,49599,67677,98863,81685,51811,12285,42695,30577,33813,99688,26045,46448,59804,27916,55574,30307,65515,88493,4710,33665,19962,34286,61127,55734,46655,15546,23134,49076,3119,13167,84924,24414,81693,7892,39625,10,11,9,9,11,168,174,2850,43499,40192,41451,45394,47126,45875
4.62_747.57,SM 33:1;2O,[M+CH3COO]-,YDCVVJDUHPPJFR-OWWNRXNENA-N,747.5673,4.617,21414,17112,15102,18233,16617,28849,11351,9138,17859,13003,20467,11380,17379,7499,14708,14222,17899,22267,14765,12222,16131,24061,14495,17421,22756,12154,10541,5555,23427,14445,17626,13291,16223,18156,15329,24446,8484,2562,4944,5621,6282,6712,8478,2850,3812,6829,6093,9315,11985,14609,7647,10357,14576,7419,1934,1782,1662,1570,1469,1464,1360,19525,16293,14586,14722,12494,12090,11338
5.29_799.60,SM 37:3;2O|SM 16:2;2O/21:1,[M+CH3COO]-,NWIGYYWNPRDNSW-YQSAPLOFNA-N,799.5991,5.291,43820,55667,48881,61043,56912,58817,54077,46836,33206,61625,74892,25744,66321,42651,65755,62253,51585,73014,163544,108612,141565,99277,127288,103774,112505,117143,147575,94944,103099,198584,108529,109691,106526,116368,113325,105429,46301,60230,46441,72804,61033,35343,62906,43926,33661,37793,38718,88523,57872,52247,86495,42231,64992,46489,2279,1753,1561,1597,1644,1644,1755,89523,82449,80961,76253,75473,77542,76044
6.10_829.64,SM 39:2;2O,[M+CH3COO]-,YYJITWPLFMDHON-IACJXQINNA-N,829.6444,6.102,8,1945,8,795,4156,2121,8,10,10,11,12,9,624,1197,8,10,9,1803,2735,9,8,8,9,436,534,11,301,664,9,2093,9,8,9,9,428,347,8,371,9,665,480,8,898,9,325,9,9,1522,11,10,1098,8,745,418,454,1332,1413,1597,448,877,670,971,10,369,10,9,9,9
7.17_845.68,SM 40:1;2O|SM 16:1;2O/24:0,[M+CH3COO]-,ZMVICCPXQQIKAC-BSKJHSHCNA-N,845.6772,7.172,276240,184975,226585,239194,178872,218370,218641,168577,271064,184198,247289,215823,154102,127993,237268,163818,188377,231313,134290,187021,226290,252551,281032,208036,283565,178705,138296,178949,255752,144920,187949,206522,230400,241599,174895,247153,245653,216576,185726,138831,166960,218502,183473,172992,101066,210641,180768,121358,218567,251258,166177,207222,148838,197082,355521,341449,352132,345320,241063,244144,238872,244631,215111,209968,205151,198714,201059,201618
7.51_859.69,SM 41:1;2O|SM 19:1;2O/22:0,[M+CH3COO]-,NQSWFDKHKIXHRT-NHFVQZBWNA-N,859.6926,7.51,38403,31152,37409,36697,27154,34560,34971,26208,45120,27061,36557,35622,31515,22452,41927,31433,29033,37747,32419,37245,41756,50032,58717,53234,52555,41553,28801,43427,53919,34431,41177,45530,49569,53123,37590,51714,60160,61689,41887,33454,42755,47866,56770,41593,26932,45649,45662,33888,51515,65760,39426,56342,38547,46954,150574,146051,152256,149700,95756,95424,93648,46764,43036,40900,40522,39389,39743,39402
6.70_857.68,SM 41:2;2O|SM 21:2;2O/20:0,[M+CH3COO]-,YACGIQMVIJKNBA-NBGJCBSLNA-N,857.6773,6.696,21012,25642,19042,21528,19034,35653,16226,14447,24907,17853,26656,17655,23943,15385,19921,23126,20606,22004,23852,20177,19975,23696,20390,23632,27041,20365,17610,5983,26587,23170,19695,19660,18801,25370,21983,21997,10298,2157,10140,12375,12227,11824,17757,3876,4852,12421,11709,20829,16523,19709,14318,16589,19417,12196,1434,1470,1130,886,549,109,251,23028,21404,19516,18984,17635,18864,17678
7.84_873.71,SM 42:1;2O|SM 10:0;2O/32:1,[M+CH3COO]-,HCMJLVUZBHGDLK-HNENSFHCNA-N,873.7087,7.844,162126,112820,137511,147339,113014,118801,116173,94471,170327,111075,132296,156972,93323,77326,161347,103663,99851,142371,103495,172659,204428,239671,290426,188742,242703,163228,104115,156812,238272,116345,156994,179683,223395,228134,127509,208992,278052,233248,199165,143217,179667,236415,207829,193205,105285,230384,203410,118469,232828,263600,159223,231638,135473,196865,277296,273510,278984,271163,180740,175925,178758,191369,173848,170313,168466,167281,165132,166371
6.81_889.70,SM 42:1;3O,[M+CH3COO]-,PGBVCNBXYRUHSM-FCQUAONHNA-N,889.7022,6.806,1755,2842,1056,2434,665,1640,366,332,2733,1076,3077,456,2047,478,648,1214,1151,2442,3017,1033,1832,1368,3410,2094,2509,3523,1951,787,2996,2606,2212,1673,3281,2835,2836,1979,663,2361,1833,2407,2416,2156,1699,735,1809,1741,2814,2770,3437,3235,2453,2225,2933,321,6196,5910,6524,5780,3604,3923,4205,2604,2447,2122,1287,2398,2208,2211
6.79_871.69,SM 42:2;2O|SM 12:2;2O/30:0,[M+CH3COO]-,MAHFDADUHLSQTD-BQWBKPSCNA-N,871.6915,6.792,8,12,8,10,2239,10,8,10,10,11,3798,9,10,10,8,10,9,11,13,9,8,8,9,9,9,11,10,10,9,13,9,8,9,9,12,9,8,10,9,12,11,8,10,9,10,9,9,14,11,11,12,8,14,11,5594,5935,5348,4863,4163,3950,4586,11,10,10,10,9,9,9
6.55_881.64,SM 42:5;3O,[M+CH3COO]-,UDAZTTZZJCZPOF-PBYREVRANA-N,881.6434,6.555,8945,7747,7224,13981,5416,6038,5766,7727,10773,5799,8960,12892,6185,5232,7552,6138,4985,8329,7789,11075,10726,16137,19358,14139,20475,9540,8008,12115,11438,6976,9277,10829,13253,11684,9402,16993,8924,6701,7202,3692,6996,8549,6397,6762,3645,8505,5407,2814,6671,8061,4809,6765,5941,5044,1356,759,1362,863,555,568,965,11985,9832,9531,9098,8885,8739,8845
7.44_885.70,SM 43:2;2O,[M+CH3COO]-,WHWXBHOSDLTTIS-OMFULWOKNA-N,885.7033,7.441,9535,10309,9741,10378,8187,9972,8677,7919,11771,9240,9213,12247,7973,6349,10368,8907,7441,8560,10592,11709,11952,13263,15472,12250,14414,12104,8514,9656,14699,10478,10085,12216,12317,13217,9759,12158,14921,14325,11620,9984,11923,12574,13315,12712,6316,12340,11687,10233,12064,14839,10515,14985,8814,11061,5738,5516,5684,5280,3689,3918,3517,12327,11360,11469,11337,11094,11612,10949
7.39_883.69,SM 43:3;2O,[M+CH3COO]-,HNHHGJDMNJSZCD-XEBDHIPENA-N,883.6909,7.394,7,11,8,10,10,10,8,9,9,10,12,8,9,9,8,10,9,10,12,9,8,8,9,9,12776,10,10,10,8,8697,9,8,9,9,11,9,8,10,9,12,10,8,10,9,10,8,9,14,11,10,12,8,13,11,10,183,134,9,116,187,214,11,10,9,9,9,9,9
6.68_881.68,SM 43:4;2O|SM 19:3;2O/24:1,[M+CH3COO]-,HOXFGVOPSHCHAJ-MIDVQSILNA-N,881.6763,6.68,16326,14794,14040,17584,12030,9795,9717,10085,14514,8988,15938,10643,10179,10119,16282,15879,10160,17295,21831,23651,28555,30308,45608,25559,27455,27049,23189,16671,44449,22284,21331,22353,31607,28902,23388,23910,14274,17080,8687,6505,15215,10551,22323,8647,5157,8669,10624,14144,15922,15741,9110,11517,7709,10263,246,10,105,9,121,136,9,22739,20208,19471,18381,18013,18208,18230
4.61_735.57,SM d32:0 ,[M+CH3COO]-,MJAFYELZQYPMQG-MPQUPPDSSA-N,735.5656,4.608,808,921,432,887,1169,1064,432,399,897,484,580,503,396,384,436,557,419,869,871,895,622,806,855,545,888,1034,997,849,901,1032,562,275,185,485,740,396,636,624,470,595,511,705,788,412,250,590,439,868,983,749,355,187,751,661,3943,3226,3338,3416,3049,2622,2929,824,783,672,689,544,551,611
4.39_733.55,SM d32:1 ,[M+CH3COO]- ,KYICBZWZQPCUMO-PSALXKTOSA-N,733.5513,4.389,22437,18309,18918,23498,32429,32631,15663,12586,21599,17140,26077,15849,20908,11313,24874,24708,20500,37859,26558,18276,29963,52451,36895,24645,34889,26224,25113,22692,43638,30068,27758,18217,29207,26756,21162,35195,23868,8688,11371,15346,11158,16631,21627,7716,8494,14438,14833,18446,19118,25349,15981,16264,24808,14151,117827,99534,99704,100802,79124,77898,78968,26767,25132,23615,22645,22345,22014,22270
4.71_747.57,SM d33:1 ,[M+CH3COO]- ,LQINJRUGTUOHGS-YPDYIYJKSA-N,747.5669,4.706,2847,3380,2517,3905,2957,260,7,8,3714,1184,4840,2617,201,9,1955,178,2203,5859,726,550,7,4640,3107,3140,3931,10,9,511,3735,234,2429,7,3532,624,165,4260,3415,2449,1397,11,2297,2001,123,8,91,2652,8,13,3008,4116,11,139,4395,10,71636,64622,64612,63581,48972,48955,47431,4355,3794,3430,1219,8,577,8
5.29_763.60,SM d34:0 ,[M+CH3COO]-,QHZIGNLCLJPLCU-QPPIDDCLSA-N,763.5981,5.292,2398,3,3908,11678,3,13093,3227,2,3566,3,11149,6604,3453,2,8434,13378,2,10451,9297,8128,5436,10857,6582,7153,9539,9039,7823,11837,10385,13193,10429,6309,7071,7905,9653,12277,24736,7773,6613,9327,7540,11179,19432,8748,6622,9996,13787,10582,15932,23103,10183,15710,12253,17006,36884,36283,33062,33779,30402,30756,30608,10919,10538,10199,9665,8892,9021,9050
5.04_761.58,SM d34:1 ,[M+CH3COO]-,RWKUXQNLWDTSLO-GWQJGLRPSA-N,761.5827,5.039,57262,48129,48377,68675,91027,77806,52558,46245,60590,53024,66164,51988,50327,35773,65046,60904,51558,83746,73417,66412,87160,110663,85474,77813,101797,76801,68831,77168,126907,79186,96601,77096,82356,82955,70487,127249,87670,61781,50946,61996,48930,62004,70757,49624,44105,60352,58070,61835,72126,89166,65280,64058,70393,72854,602002,569229,521555,546187,459613,454277,454791,82403,73324,74120,72688,67636,68461,67273
6.00_791.63,SM d36:0 ,[M+CH3COO]-,JCELSEVNSMXGKA-IOLBBIBUSA-N,791.6262,6.003,7,11,8,10,4078,10,8,9,9,10,12066,8,9,9,8,9,8,3683,24402,15316,19513,10637,13040,18539,20293,16933,21987,21464,12878,32360,19324,19579,16771,18551,21132,16239,15625,23109,18661,24452,19444,7867,15174,14729,14553,13804,10791,27313,20094,15704,28676,13812,26393,17550,6404,6397,5180,5816,5431,4988,5009,19161,15129,9966,16307,9049,13819,12072
5.75_789.61,SM d36:1 ,[M+CH3COO]- ,LKQLRGMMMAHREN-YJFXYUILSA-N,789.6147,5.752,62986,82246,69384,84711,76067,64158,59773,54991,51761,71401,94516,45248,54677,53644,56467,59054,59790,91399,179919,115877,145005,112473,157611,137353,168965,127438,147066,121977,126525,184598,129304,135715,144255,141041,149130,142064,90059,115619,85335,112941,95453,76857,97968,84575,59204,84279,72337,127649,103991,111126,136394,78315,105721,84948,195146,182749,172612,175514,141214,136638,139557,128354,105756,97575,95611,91492,91405,89994
