,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
7.40_527.45,,,,527.4505,7.4,3342132,3858828,1567568,1411590,124465,884518,3460432,849576,2509769,315870,964832,210361,4431623,318172,1101025,3198126,154845,65383,36124,76381,58453,941476,904401,152778,124764,350188,245873,2052845,5788286,2353243,1078144,987336,1212765,2259282,2442194,1503492,118957,297101,2646712,402829,306634,864496,1275206,1504971,395507,194323,977108,2508301,148314,126302,167012,177849,162275,211870,259817,158939,364146,158751,199773,243955,251826,937486,1146371,968515,939044,898802,961503,981875
0.98_325.19,,,,325.1852,0.982,732329,492035,885828,299431,411508,353120,1490671,1170601,1045307,391641,410891,486087,1894462,499576,1014615,575069,302258,485733,289763,248755,153803,317586,184882,367175,303668,276285,646745,4176825,1253522,1993743,3526490,2439964,609779,1341827,1899929,1283846,889075,922292,1087477,951654,1150093,1349599,1050441,964340,1449483,1164579,898760,689078,542195,450675,516512,584150,752710,711259,234502,271286,341530,464073,237189,364864,392142,476139,379530,559400,470488,499588,694870,723525
5.02_762.51,,,,762.5096,5.02,356000,708329,285831,531422,722673,327221,279760,380098,269755,493315,570733,751131,296661,668520,347194,376342,663064,732327,724831,917888,673749,434198,367309,300603,461335,676027,465966,208190,615353,904680,882544,751726,777758,1045482,693341,309387,887534,780089,770656,1128621,997907,1143428,408067,843022,687102,967220,878334,325765,1211384,967975,1134728,1070983,1122952,1314071,10,13,931,13,12,11,11,789546,346627,619348,698563,804052,801745,779059
1.84_303.23,,,,303.2338,1.839,1288336,1235831,1051763,730905,738849,825158,725727,655309,561742,1013870,415187,902721,793199,486422,647717,627614,830663,474606,1440066,1219561,1210871,776132,1212710,890843,1039129,879397,880162,751958,940074,656384,547917,628576,679053,575039,604934,710649,682439,267076,323214,363920,205103,249780,1000707,276958,426855,358415,307259,1045504,313217,526961,511756,435387,285235,257196,10023,10260,10598,9815,9217,9031,9305,656860,840381,733084,683431,628870,629517,626351
5.44_851.60,,,,851.6021,5.437,206903,261663,347291,448783,580192,424275,390077,453605,647690,323899,425477,418503,335975,571076,261096,265463,538491,670733,396755,316687,445461,622154,428204,855423,570293,497037,421128,1475910,486783,442039,996833,1055088,1123883,675292,764458,1261924,949843,1300407,1186726,722523,1308122,948455,1007829,1035308,946468,1045121,1058362,937845,1062903,1022000,909565,859395,1047733,1043532,2688,3333,4214,3438,3510,3682,3649,645492,862606,796260,753252,706122,660429,677763
5.11_122.97,,,,122.9696,5.109,1403533,149056,1879170,1172784,1512111,3031283,97288,41434,3700833,49959,1093,48989,20648,1991,1735148,322994,747589,922,23662,895,224087,163728,2145822,1479926,2109441,24637,1128967,128734,1237135,222713,30574,1375400,638679,1839,2407,3916626,838409,946565,1716940,2829,523406,23448,2673698,72384,1763,1074542,403289,3263432,173974,26488,1479,1290,34122,1039,1857,1421042,739898,977579,64999,4381,3198,907,3149329,1320771,703396,42737,1970,1663
4.54_433.31,,,,433.3125,4.545,198613,225707,2695130,2680133,444972,2159553,6456087,2063546,4518775,792226,2202058,532003,7633517,682343,2889573,4625654,546275,251294,239597,287082,308206,1935579,1860989,548069,505134,818508,620239,758,23797,177,198,247,231,213,380,437,176,241,258,208,215,197,203,245,160,216,232,256,213,187,148,197,221,180,8333,9265,22291,8470,10478,9295,8873,566239,828434,772595,721672,658699,595033,601787
4.48_883.54,,,,883.5356,4.477,600048,468101,492267,354961,180864,374074,361935,240277,421596,274719,1551842,191923,1936912,270196,1442064,283132,646761,145066,509864,302840,517840,491690,1605896,421289,434930,420385,423345,449582,387674,374187,474940,481343,746115,782071,701287,2352233,689564,494471,441126,309117,664206,384307,386389,490442,491820,2292184,378290,1526741,788969,988282,451144,857363,656380,1424872,2047,2129,2043,1880,2311,2266,1903,2343720,465575,448359,342254,524071,351006,296482
4.73_835.54,,,,835.5361,4.731,332161,463023,421052,415860,603838,459219,529257,496274,511626,548411,405392,544318,525118,788374,463885,515613,603183,847555,317251,413337,290893,375459,318883,410215,452954,358555,219513,410553,361739,294149,399135,539352,767033,607006,491326,716369,593779,539105,579270,515644,678216,530370,421226,637406,342565,570959,415967,566098,1070684,895982,708922,851676,805322,1282868,29720,28671,23944,29268,34048,34039,33722,533524,523115,519952,463907,495865,454458,451867
2.51_337.24,,,,337.2369,2.513,499038,496435,378850,316827,243448,215228,892726,710213,386844,365919,536280,454203,1490487,411429,457011,527149,285656,443958,407056,389016,286212,378146,132444,273094,192654,409750,325131,2278824,538362,702537,989029,854304,509970,959426,1407095,750919,468762,533559,518686,672135,589116,666482,377654,557082,745426,520007,760042,333946,509957,660158,625538,664223,688703,664456,550437,115043,343530,501740,358085,404422,422416,668622,224578,418649,489374,610744,660740,677682
4.76_122.97,,,,122.9695,4.763,1172205,344141,1408888,978313,903572,1910051,174409,115855,1929101,204624,1912,134655,39023,7018,1341388,849255,1046552,2661,63487,2773,304606,198245,1222003,828238,1123873,68857,905609,106350,787286,313649,83206,939462,667374,3916,3415,2296745,727959,887550,1241654,6354,618003,98510,1491207,240402,6645,975482,626924,1994366,371981,71369,3749,2250,118488,2313,771,449840,331532,119404,35442,2111,1224,1961,2138694,1006847,692872,141817,5858,3884
5.14_505.38,,,,505.3762,5.142,844227,498246,667607,573130,517246,766709,1474312,658183,1127392,283831,493151,224968,2124061,241667,926366,736125,382597,218843,276111,217345,313127,631140,391255,543686,449205,315372,540691,2526712,444233,379125,434648,602417,546568,537471,1275459,1313773,342080,540401,599416,460348,433822,384152,474778,537988,311890,467777,516205,671240,437998,452066,285688,496990,470508,400776,710155,385812,594458,844394,742508,654012,645248,478439,635875,545114,498995,456895,404475,396547
3.27_122.97,,,,122.9698,3.273,1109597,99936,1485277,903562,727813,1929210,69352,23144,2322442,56342,803,40678,15813,1733,1395067,416269,1107559,780,13717,777,131225,48440,1227767,650268,1268461,14413,688520,65146,853973,142821,20097,1029635,453339,1383,1525,2280115,858032,794541,1513291,1489,379438,21505,1920993,54669,1796,1162805,396348,2235821,132386,15732,1144,738,26664,747,703,1713254,1461795,593371,30511,1600,987,670,2038007,1001973,515958,29579,1419,977
5.10_772.53,,,,772.5306,5.099,34349,91247,64757,190387,417371,47926,116806,479246,66188,206843,342334,689343,109057,576751,64403,113060,197419,360338,175810,171795,111972,201984,32734,352969,105586,363523,55966,322336,133096,239904,752458,340421,648828,346781,200172,88632,903134,567422,307644,500298,605462,589971,198615,493994,1095715,477340,472528,118738,964691,1263593,1579686,898338,1033825,1393592,601,192,281,252,198,227,637,453135,98379,303827,398159,499086,499203,508915
5.94_844.61,,,,844.6082,5.942,270586,344257,300759,483291,650236,349493,363440,430032,417148,314101,327843,255350,233564,435086,247294,337952,336294,375283,330824,282830,301119,293246,216533,340118,369353,381116,288962,537182,380667,453195,456769,563020,427134,425008,523919,705724,487934,705359,702987,577848,731886,516507,492009,695156,444187,754759,732788,508571,660867,546505,467524,588149,577397,622910,169317,170817,175364,200063,156031,147931,146496,421970,527976,478309,464602,448860,420822,430568
6.06_792.56,,,,792.5576,6.063,320475,451861,305734,270038,688856,317855,364257,319263,298959,365947,364447,367203,182368,514081,372006,312351,396355,538646,468011,558205,389150,396654,269375,285467,313327,485909,331195,389221,389503,496956,524944,491464,409637,614188,520436,524998,320977,389897,362258,549179,428444,503688,282773,470891,451303,350951,401131,260609,495271,367868,456313,522884,440704,508536,5370,3266,4328,3060,5060,5269,5860,454670,338116,362837,384215,443337,489685,499076
4.68_505.38,,,,505.3759,4.677,520527,405003,507844,468145,455639,512335,788845,532241,626031,315467,435855,267645,950342,274164,668277,580805,460781,247998,260438,238223,302591,483638,279981,441845,403461,304802,344261,819267,408635,350265,396330,535913,508472,487758,606243,644735,394472,499621,561942,416618,486918,396592,406008,505064,324059,489657,474125,446211,444523,428700,302608,464314,456756,405838,113059,93871,186468,107809,102693,95590,97746,432125,453844,497616,458182,427387,378216,377056
7.70_692.62,,,,692.6215,7.699,677096,715388,777579,838108,837885,976147,427417,603393,1193627,663522,810940,844213,340073,572788,696151,537665,603383,680746,508783,312500,330322,436005,561417,506164,506983,390693,418762,199242,409986,446978,372945,392422,306529,274972,179619,306952,216216,136078,147532,115305,167540,130288,135137,104524,120644,181447,133624,150261,161457,160682,151753,161475,145878,125792,1787,1814,1813,1778,1496,1575,1711,514749,725691,678186,638503,577015,528272,525704
5.32_788.53,,,,788.5252,5.324,159671,344445,177182,212871,202407,143212,202705,395817,132591,529964,521640,648960,184194,734492,260760,224852,365743,690053,449426,354459,305317,297193,57065,281734,137719,457859,90318,129220,196069,350986,666954,291828,296818,611818,311079,157833,425118,302061,207162,429986,433587,450812,144643,395289,565350,384448,311751,110145,789248,576005,760108,799756,642015,982983,4748,718,22,2727,4200,4952,5028,540599,137553,201161,271033,528809,525704,485802
6.77_652.55,,,,652.5456,6.766,317798,512682,313746,444974,420337,443345,277771,614105,508023,440559,726919,576092,233010,561967,297926,294236,282387,582069,790913,756258,578330,740268,337287,570551,579199,740249,575969,438321,440519,695503,336738,277519,211762,342069,269937,207719,183018,170069,197507,257257,241662,309695,123624,164918,220895,215736,208795,148630,164054,187967,243520,216943,277118,158851,705,406,203,650,879,891,1030,486140,293390,358600,395144,493097,516752,510478
7.60_668.58,,,,668.5768,7.599,621647,528349,386070,492407,347821,707958,327626,363756,780562,350221,815962,503976,496501,569721,339849,398133,457985,584294,732058,790193,588273,995601,279059,744609,632132,605165,480261,128844,575752,498653,416826,355510,277997,403979,353930,376694,92271,55780,113603,136852,131696,156962,77603,60612,139671,159659,136896,137949,150252,169716,180789,256339,244515,114918,232,3,6,252,249,145,481,454465,319582,382818,401476,457137,459336,459385
2.85_281.25,,,,281.2494,2.853,432147,294504,484200,335236,224037,329170,485169,362424,447201,258411,241319,286491,665439,204110,368640,363272,571030,232988,363455,388640,378144,248912,468878,266253,333421,319419,468390,938969,648449,491372,511372,566865,333377,432703,546633,560169,474663,385462,477319,287729,361515,347856,880157,295159,423212,487721,530992,796283,267170,404773,337117,276383,329992,267200,664189,661499,668330,668825,617677,590622,603537,369910,496114,406905,388219,381104,350499,354726
3.41_417.32,,,,417.3235,3.406,158585,50046,71106,48564,87273,62256,221117,97154,152229,68391,40339,498778,698733,134640,301069,448785,49610,250416,418646,377944,262845,78673,362100,78237,299736,731049,842462,1336733,840415,196491,225073,341437,142687,74405,142482,263784,253513,806574,660393,341491,118787,136521,620863,230281,606632,1210544,1498075,1842366,115143,1109000,736061,414630,162629,392189,42456,42372,77812,189411,42367,43154,47934,356062,433509,394479,394498,373013,345606,370093
5.05_122.97,,,,122.9695,5.055,358177,14910,521951,1172784,1512111,974687,97288,41434,3700833,3859,316,48989,6964,1991,418795,322994,400336,159,3222,895,25923,24997,688086,267771,537905,3044,301127,128734,1237135,222713,3797,1375400,73994,1839,2407,3916626,74196,946565,1716940,2829,523406,23448,780283,72384,1763,163489,403289,3263432,19258,2835,272,425,3402,151,1857,1421042,739898,977579,64999,4381,3198,296,1225823,1320771,703396,5800,1970,1663
4.82_122.97,,,,122.9696,4.823,1172205,106506,1408888,596452,626770,1910051,174409,29142,1929101,68247,701,19052,39023,1312,1341388,849255,825725,677,9429,428,76294,56992,1101864,492775,908320,10768,905609,106350,444602,69547,14302,438497,181903,966,1404,2296745,241340,471498,816260,1010,253225,12890,1491207,71532,1408,572800,221290,1994366,65639,11530,638,649,16261,636,771,455550,331532,119404,35442,1999,1242,468,2138694,637019,276014,25759,1064,642
2.95_349.28,,,,349.2756,2.948,409472,388307,333458,313268,290659,612045,342350,486014,494294,496755,490599,656597,288732,465153,198162,297597,776037,505858,624813,724409,535868,442471,488843,409245,440719,520515,453723,446819,456898,333614,379910,309730,336581,238199,258572,501602,219015,143919,213318,120843,138347,149928,599231,103627,158886,176517,195378,222298,117999,205477,212607,208245,119091,75694,791,1067,986,920,969,905,872,333367,446187,357551,339204,342401,314374,333520
2.21_329.25,,,,329.2494,2.206,315053,509038,429245,486212,290842,359179,265848,368639,374804,798311,341773,570586,241073,278455,422318,331014,345030,353082,669683,654500,716780,342375,1071950,441655,403001,446028,615778,311824,382660,240807,118907,136369,170313,109881,110248,139088,345954,213331,209264,232389,158516,189799,789452,230834,372250,245526,236477,439475,85671,222797,143186,106980,125173,70260,28696,26627,23185,26132,27101,26716,26241,365096,433413,383670,355571,346637,336681,334339
6.30_596.53,,,,596.5273,6.301,325339,280736,274898,293076,339567,249609,412252,335221,376193,220955,331707,273460,465011,299182,337295,360443,303723,281317,253723,258004,244718,353020,160099,274394,277313,286889,214738,638005,371135,388573,419844,487426,378028,424918,564914,477566,341540,450523,506496,439023,464949,440737,280826,513650,360894,404422,437742,265946,406474,359752,332733,369758,421527,335750,192903,75254,141236,145324,164897,173779,182921,358472,233002,356155,374706,368916,357763,359553
5.88_816.56,,,,816.5561,5.885,156028,239512,279081,222337,937302,255778,517491,670422,388342,366110,536026,585323,264980,528686,224180,201778,294518,352341,200862,235058,166998,158500,62017,174102,97600,228155,135086,167384,172838,211150,306361,222649,191603,241154,239476,193250,334116,399984,417983,470826,447992,464078,226006,423699,410634,443554,468893,173684,471491,295070,430624,624614,276675,564019,9,12,22,12,11,360,10,376058,187019,289559,321395,379553,392345,389803
5.12_958.62,,,,958.619,5.123,354683,450465,353440,264087,128431,602871,660910,718602,452905,452050,401894,464671,655510,457392,319740,456478,956548,344439,195203,248994,201220,247742,157974,301522,241481,265650,170290,462229,268539,290979,440968,437639,386408,372923,359118,763119,212245,260282,330875,218711,313640,274371,257316,306503,200904,234104,255445,243649,371527,194538,211728,333602,241910,267990,8,196,218,101,10,245,106,289998,382244,331903,336328,319646,300512,302387
4.17_505.38,,,,505.3765,4.172,289396,323575,331979,308613,369402,310586,387764,392909,313548,268159,339784,242063,615010,230130,467188,419856,330014,230878,195327,194542,243520,342296,205757,285246,257135,221815,204410,508617,244443,288512,337182,421649,421568,407799,532499,551980,332309,332407,387493,330337,385605,301946,243218,351202,243574,355436,324741,337203,398970,377552,270304,415980,385176,358886,90526,78415,160709,86733,85413,81255,81638,363117,335346,363386,350077,330089,313305,308943
5.70_790.54,,,,790.5404,5.704,84491,194964,94508,165919,404861,146831,125342,286906,186291,292483,265107,526173,101303,373131,93642,149511,252298,437884,353981,591245,287627,161935,94830,96276,154800,397759,152494,108137,233054,404432,260373,142131,196493,384067,144173,80946,277222,303055,249143,518941,477116,699050,138087,555217,498524,337794,407977,118507,306879,204371,305662,266982,382429,327012,18,290,44,266,237,384,321,398528,123217,187893,236893,370683,424252,424455
4.71_885.55,,,,885.5492,4.706,63909,58524,15129,67543,199494,71421,20747,208728,59543,36902,24956,190170,35507,511380,14317,123803,53259,5536432,69562,665281,89779,41668,45309,41561,59096,91443,58782,105922,175215,74316,50991,134423,119413,80767,48488,33752,56687,98337,162845,525529,122410,176139,51737,88634,109736,52420,81986,31949,193208,65951,169771,118949,228853,55052,359,539,3438,2239,3018,3412,10303,33894,71244,102847,71677,106284,410369,559976
5.19_122.97,,,,122.9696,5.189,629254,86265,856318,478583,412293,1364129,66342,26766,1479054,45827,629,29529,20066,1403,769747,204268,579860,866,11847,839,80038,57035,969835,368873,814105,14258,485085,63647,358673,80977,17098,392962,211039,1124,1296,1486479,354240,338852,681342,1722,225061,18478,1139239,46933,1664,509829,173088,1508461,77535,13033,899,725,23303,568,605,402763,311510,199357,30258,1514,1063,863,1583215,510950,236589,30143,1488,1109
5.40_122.97,,,,122.9695,5.397,547413,96207,811178,493168,442237,1390865,71348,21845,1398840,45085,567,28081,18308,1264,691580,243707,645011,562,10407,662,78272,46271,1006964,369816,813218,11220,477930,63552,390549,84510,12357,393808,220520,1118,1362,1354474,373696,355734,710420,1360,229961,15168,1138564,44629,1087,537044,179433,1428906,82047,10474,720,300,20063,528,679,736349,759660,236324,36086,1364,823,451,1619774,526864,255558,25242,997,697
4.89_122.97,,,,122.9696,4.891,514382,85230,589625,559582,529380,1057768,57671,24055,1121809,50209,496,40415,18196,2002,472270,196254,686729,926,15025,489,93118,51497,771731,453952,832796,16620,509946,70588,449522,96238,19628,508253,265473,1493,783,1264112,517428,476540,815187,1926,291434,26120,1037553,56080,2063,680993,218734,1189082,114007,20886,1334,649,30540,402,618,455550,313986,115866,34373,1596,1119,790,1134009,613907,302286,31744,1819,1186
4.40_912.58,,,,912.5774,4.404,290354,330932,372015,219114,414273,310289,465228,368504,183155,294768,182364,277890,768339,209468,425310,401390,466038,168598,138275,136566,150203,161702,134297,141573,222124,194465,128177,388596,168539,210569,301003,381909,364461,349724,397842,581997,241454,200606,232961,231990,244609,204644,177110,302017,168984,231004,207126,268035,529833,305121,283387,439269,392642,439830,212,545,661,221,278,8,342,254259,319436,287528,278342,264096,244800,240009
6.04_784.55,,,,784.5506,6.04,205701,193230,127537,264747,215068,242175,176386,154841,166926,179660,228559,142586,59244,264197,132881,134509,207886,218968,238955,294787,222281,167922,190008,153499,229562,236720,180587,206048,304825,269904,128838,143592,118878,142878,191501,185952,338187,388256,466877,657166,487444,256861,265866,364293,404644,454928,163311,367170,410820,300883,352560,492844,368061,470339,289,144,142,110,429,203,715,286086,228589,227826,246300,278865,310924,313814
5.82_122.97,,,,122.9696,5.816,535817,78878,774322,445370,426831,1330116,77669,24855,1366911,40462,669,22249,26822,1355,698808,227212,583716,496,9275,548,60727,44489,802170,322319,732996,10716,424091,60555,343196,54537,12823,357652,185654,1080,1277,1502099,376135,339535,665915,1348,196276,14691,1051844,34127,1456,547995,140698,1491444,48740,9739,801,475,17881,301,444,356955,301214,118815,27488,1671,997,533,1634944,489098,199407,22471,1393,1057
2.74_363.25,,,,363.2528,2.74,199307,225870,157151,211324,87610,83455,163835,143917,84557,240653,153957,229362,194878,177196,107881,180097,113532,236757,547345,737378,537344,169653,244332,133979,149364,384912,417343,205313,466668,345564,159668,123793,154581,206143,185641,112085,277687,147419,134965,215234,119426,207435,348710,159050,434751,166153,236133,266638,105453,362239,313128,151523,149148,110233,151541,51074,79426,96610,117898,129596,137093,347161,125158,187329,218655,285173,317511,326861
5.96_574.48,,,,574.4821,5.957,239636,317556,200982,265441,255584,182994,394875,377652,211417,261233,347414,278858,235783,298534,234255,238707,116653,240237,398345,411419,365220,351971,175544,199090,156108,462315,274138,551415,220552,327576,262731,197731,122433,238709,275541,195629,118695,208323,152985,262199,204033,241335,63321,252296,220081,168733,233066,99074,132804,223318,258661,177155,220200,131067,21977,9849,11610,14198,20612,23674,23223,309962,139843,189293,247218,318799,331244,322498
7.45_680.58,,,,680.5772,7.45,227224,535545,258887,307754,433045,331367,284395,455334,236614,637193,328446,466655,198670,406190,399733,303245,193447,395143,301246,267164,180835,146100,87087,140091,159229,427990,144627,275700,137919,168338,249566,262348,132309,206906,202306,192135,107663,143941,108392,164928,126979,140171,73320,168470,152159,124022,103539,102997,253387,189580,228115,188710,178833,259489,21839,11384,11427,15197,18977,20678,20289,279242,178243,214780,227339,266079,272822,266255
4.81_834.53,,,,834.5312,4.809,128067,221796,140040,211521,238229,188797,162418,230347,288188,200741,246124,242668,227668,314781,179393,172124,220999,302722,142861,179806,143956,205654,139529,198811,193636,168388,111190,125254,170610,150303,194466,293683,438112,294345,291050,282339,333952,258871,273061,285716,284410,258844,195039,276754,170061,273581,217977,223198,493284,413464,326012,383124,377220,491302,2201,1246,1817,1197,1352,1528,1969,252790,187463,254617,236402,250758,233326,222234
7.38_630.54,,,,630.5422,7.382,257440,199959,227398,236441,166337,268046,226310,234789,227912,207445,355267,186268,204665,292058,206192,219241,215183,271823,328938,306686,304586,459418,219936,382639,363779,341484,304277,348960,248548,306990,396538,410247,245855,299056,332493,390152,126604,156258,151673,177398,169294,185883,91361,124352,167536,182817,160016,138144,176519,184935,208054,192173,244855,148581,5674,2960,3842,4182,5635,5403,5613,264617,222536,246199,258676,280625,276117,264529
5.85_793.55,,,,793.5514,5.854,264679,266635,230751,151725,361176,154803,313626,279314,135333,235246,267916,207016,320744,277224,293422,324098,347543,310162,184855,196199,168417,214925,91152,170327,147202,211142,121734,122732,188623,217118,298796,273231,295364,321144,314865,192813,210194,253076,224706,275151,257103,258463,137608,262902,274631,250489,246169,95654,313756,273751,271486,305957,307479,311870,19,26,47,24,23,20,20,267793,147699,224410,243598,270698,278988,270177
4.43_122.97,,,,122.9695,4.427,450543,106342,561562,356825,436728,671244,75369,28746,725161,69489,696,60198,20505,2935,526935,245998,666691,985,33671,1329,173355,64623,557623,391682,551996,23908,298232,67584,418553,154182,37261,517595,393210,1945,1687,876608,553657,454175,686190,2491,380917,49982,605098,93520,3651,639364,289564,738775,230855,45143,2424,1431,50696,1483,621,345495,266073,114778,31673,1842,1271,863,749301,537964,338775,51581,2140,1340
7.75_505.38,,,,505.3758,7.751,524391,346132,444018,410088,326414,497945,765348,421092,615159,230732,355647,212959,1092185,209973,568556,540961,361705,194438,122595,86499,99414,182866,131407,154486,136815,129035,157654,476488,164778,156176,227824,245613,229000,259328,383113,334285,168449,177824,180069,180769,180334,153286,134814,211221,140834,162964,174793,166753,209341,216769,143682,219443,195334,241869,82006,65890,134599,76276,75541,70453,70392,329121,297906,327304,319843,304091,273874,270470
5.71_760.53,,,,760.5301,5.706,69315,151445,97564,104985,257221,173344,119469,205554,187344,294243,249812,346599,116668,587965,77994,135144,397400,535790,123405,136593,89910,85148,30614,71646,65487,166857,39623,68662,78627,115818,289159,120125,163675,267317,113711,95872,156813,133491,106554,228222,216948,264208,75905,299033,354276,132153,174812,93372,508149,487754,484868,618056,532304,583126,1670,1260,1533,1230,1570,1586,1622,294739,84354,131555,169334,266277,313025,312790
7.69_668.58,,,,668.5774,7.694,194012,261401,147041,223249,258022,184530,204670,249871,288543,197790,326577,237408,188685,225514,203170,141847,130161,215055,466736,462986,410544,483378,269123,396152,371021,320410,384736,291271,329482,393722,204836,212848,170466,207263,204099,188092,128242,130947,135718,147188,157025,173007,89901,113942,139007,152876,141221,99386,92231,106953,140242,115421,152808,87494,3812,1787,2248,2507,3479,3583,3540,261476,201387,227210,230872,266743,285066,276459
5.87_122.97,,,,122.9696,5.873,494491,78878,767464,415024,105872,1330116,77669,24855,1366911,40462,530,22249,26822,1355,698808,227212,551165,621,5376,548,42323,44489,981672,289915,715740,6734,386174,63245,188402,33652,10608,275964,160744,1087,900,1496063,210708,190584,394292,651,120280,7757,1064041,20901,729,247425,75293,1491444,48740,9739,522,494,14625,371,602,342604,301214,213327,22365,1700,997,408,1634944,343292,143793,16628,894,738
5.50_122.97,,,,122.9695,5.496,566378,56937,819276,473966,468069,925704,58853,19636,1387976,36296,539,18363,18506,855,455080,175379,632876,452,5716,509,32980,26107,677360,348003,749263,5740,442870,66955,360885,39108,7882,257191,113383,588,1206,1413790,171054,122812,698631,861,83489,5334,993123,14313,700,221819,59004,1444112,30819,4458,431,460,7247,622,583,349298,309500,110745,26312,1669,1093,392,1580762,514603,140625,11623,1639,493
6.67_812.58,,,,812.5828,6.672,400511,177562,256533,161128,463983,247187,263032,146541,103674,192106,153417,78525,344533,176441,291870,260994,421226,242079,132707,157072,148470,120094,156564,97854,128374,124500,132152,127729,213955,175068,129531,157454,194395,184317,187646,237416,194453,288308,282824,295960,265639,256606,189334,231608,230350,252585,248051,239393,421151,298317,314526,368944,307009,454223,465,318,325,472,298,511,301,204934,228167,219210,223258,217977,222037,221302
6.18_595.54,,,,595.5432,6.177,364009,127826,78622,60061,86483,202133,274019,87229,131001,111487,225028,168828,184838,99524,351580,247275,191840,126126,315190,181325,254904,135712,594577,74036,239020,419331,364349,340173,852779,89762,262001,170957,100217,70956,76348,151332,81077,237751,159420,90998,97272,96940,215307,114049,196577,273045,500176,973192,75590,299406,215814,125977,78855,256167,32833,41180,52711,38459,32853,32706,32143,182192,320704,236517,229591,195511,183567,184140
5.09_773.53,,,,773.5347,5.093,19076,47199,33202,92990,201618,23926,58418,227901,33633,100292,164173,339672,55381,282710,34794,57412,96861,176067,88096,84173,58452,100837,17957,170786,53057,176567,29846,159839,67870,119718,369847,165693,322227,169690,98518,46392,446226,273833,155404,241505,298719,289572,96860,233986,528989,228594,226377,59131,470428,618810,780659,436620,501754,677452,434,122,234,92,337,764,343,218489,49726,147028,193338,240076,247909,247230
6.68_626.53,,,,626.5306,6.678,167826,501244,219350,305213,356185,242179,178951,368449,341552,318770,382094,457583,139605,263363,176205,154121,143081,287850,351448,337741,269568,336802,168307,228093,272097,311617,285504,277571,206542,310818,135968,121652,99672,126245,130248,111460,84882,89161,109601,137870,117524,154600,59494,86757,97492,107533,104991,70647,56957,69859,98359,81307,98691,52044,2,22,169,160,146,2,290,246159,165046,191785,206557,248141,270921,261878
3.16_122.97,,,,122.9696,3.159,470095,49947,670245,401417,309202,901419,68045,21555,1050162,30400,576,21340,11464,1154,597709,169649,485448,495,8870,875,58332,27483,574130,276568,612187,9212,252104,37089,337619,62160,18385,388560,170493,588,1363,975962,339162,305306,632848,986,142007,12965,773085,46259,1023,458874,155197,991035,60796,8826,854,762,16576,592,270,785405,640949,226487,18015,1616,857,547,945623,417929,197276,18336,1534,824
8.28_694.64,,,,694.637,8.284,313958,144372,269282,163464,76089,381025,130397,101067,292168,187723,305500,188045,120168,355089,130135,228591,286406,190434,320155,220241,242628,572273,192346,538974,421391,236062,179170,82796,275126,215249,376857,400344,264545,264713,235527,472195,59085,49997,72783,67093,73516,62047,54566,43576,67111,100373,75576,110102,136269,117081,110019,168268,144155,81894,3396,2886,2433,3069,3284,3158,3254,189209,250493,239315,231906,210893,200224,198744
7.55_692.58,,,,692.577,7.549,131100,143816,165248,255157,179048,60244,134890,213033,217736,173306,302140,140990,109738,267936,171530,121404,144598,475820,340293,335008,401336,298417,330829,317760,205729,383406,341015,254427,230849,310720,315428,218769,342936,286144,252531,172778,78982,150280,65969,56175,132794,70661,91895,63683,90795,64379,60124,69633,125447,70027,105557,107083,78596,93503,78,107,6,91,254,85,173,231988,153831,182856,198009,232263,241402,240020
5.43_852.60,,,,852.6029,5.435,63836,76669,102295,127287,166799,126915,114848,134707,182306,91759,120000,120263,101164,167521,78165,79981,153804,201150,115806,92306,128652,180544,127112,245543,162785,144211,122551,423795,142527,128313,286944,301941,322787,198791,219720,359413,276891,381055,342674,209118,395716,278470,292568,298732,284121,298799,303347,266251,308506,303794,270672,245009,304616,307704,513,1487,1519,1188,1071,729,1115,189140,252897,222497,214566,204887,192158,191245
5.69_122.97,,,,122.9695,5.694,387321,51216,666469,416642,412254,696745,50083,20537,555363,25604,584,18051,17413,739,555616,132919,505887,638,8672,421,46079,36964,777678,279707,646817,14520,410078,64002,266599,40867,11014,349041,201696,1479,1398,726620,408059,372091,656446,919,137006,8274,802233,25186,920,561015,91437,731263,48036,8121,619,520,10992,513,437,359730,294535,104780,27928,1562,1049,651,984255,474382,164548,17581,1107,684
