,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
1.28_500.28,LPE 20:4 ,[M-H]-,JPNPIRVRGLGTRE-YSKCIPFOSA-N,500.2788,1.284,644,905,518,760,1234,715,709,905,860,880,796,545,1198,590,660,833,1472,865,847,1938,1640,321,1795,2846,873,672,998,826,1258,3322,944,686,1103,2309,1446,541,763,556,1014,1171,1010,488,1561,2469,1645,747,1607,392,753,1009,1641,480,2442,741,16042,16735,14998,15194,15466,15513,15828,1185,1330,1242,1251,1338,1194,1452
1.22_524.28,LPE 22:6 ,[M-H]- ,XEVRBOQZSXWGQO-PAUXXPOVSA-N,524.2792,1.224,14857,19485,11535,11827,18607,9570,9889,17050,9934,18247,16540,8851,38846,11194,20299,18668,23621,15286,15474,24088,12718,17506,18083,18225,10641,8255,11340,6749,16536,66331,19619,11641,10553,17885,12437,12172,15482,11756,20473,19190,17168,12785,32544,54248,24316,9761,26486,9063,9670,14895,22191,7200,35230,21188,9248,9583,8767,9333,8801,9042,9009,18315,21251,16773,16953,17798,18347,18301
6.38_815.59,MGDG 34:1|MGDG 16:0_18:1,[M+CH3COO]-,GJPFUHJUTMNEJR-ZCXUNETKNA-N,815.5912,6.375,1224,446,844,803,567,401,245,816,925,1040,943,535,1696,518,815,768,716,456,1072,814,1287,885,994,1695,946,1318,1110,8004,628,1289,703,850,1564,1355,1419,1026,635,881,917,1015,961,705,609,542,1114,851,624,649,1395,1037,1254,506,991,758,353,498,121,201,327,498,144,962,1179,1017,1263,1051,947,799
5.76_813.57,MGDG 34:2|MGDG 16:1_18:1,[M+CH3COO]-,GSYLWKOSYBRFHP-LJSPAGPLNA-N,813.5747,5.764,526,176,213,165,349,123,143,539,292,98,436,156,456,30,27,3,312,41,3,73,153,139,257,3,183,461,38,1804,241,512,4,330,138,268,173,364,196,146,180,343,3,182,167,3,453,213,384,3,205,437,179,39,155,3,401,438,133,432,424,503,144,184,128,3,320,134,164,132
3.72_791.47,PA 44:12|PA 22:6_22:6,[M-H]-,YUDIFVLBAGUYSQ-GZSOIYOPNA-N,791.466,3.719,774,486,749,622,502,651,1071,588,335,562,600,558,1234,605,1045,731,2544,533,376,433,501,511,370,351,343,568,383,948,282,513,337,509,692,634,284,473,658,547,571,482,178,378,599,523,508,526,617,739,1101,682,688,779,507,816,8,111,96,268,252,341,159,767,744,755,654,301,554,557
5.78_792.58,PC 32:0 ,[M+CH3COO]-,KILNVBDSWZSGLL-KXQOOQHDSA-N,792.5774,5.784,663462,544642,636815,756799,736518,651761,777341,747998,583334,869894,702416,741270,994484,843553,747011,627135,779214,630159,428408,406161,458610,379267,383819,576760,407065,516810,495891,603992,423208,441520,580905,525513,639849,606727,572891,510431,683851,681332,627792,536189,723884,641435,605239,632036,653380,631798,669173,644523,696748,814319,769152,617605,717554,731521,125305,124902,131627,127797,132707,136146,133046,699830,689248,661032,669584,645518,640733,665387
5.19_790.56,PC 32:1 ,[M+CH3COO]-,QIBZFHLFHCIUOT-NPBIGWJUSA-N,790.5604,5.192,159643,168551,177777,211153,267443,179585,142734,200450,203424,251509,166651,273385,278929,226577,147151,158210,233194,134815,219621,253559,227217,197219,181803,209213,233134,286054,233988,262834,213778,200547,212749,173034,205584,246792,227607,192662,239835,281142,265418,268077,262710,297072,281005,323479,256835,267853,233339,234894,279597,262971,269071,228110,224572,200260,61217,62729,64048,64025,65773,65855,65053,249020,256907,221650,220986,220568,224075,219760
4.68_788.55,PC 32:2 ,[M+CH3COO]- ,GPWHCUUIQMGELX-VHQDNGOZSA-N,788.5455,4.679,20136,18298,29187,23126,39275,22435,27734,29092,37172,27554,23300,32348,37740,23413,27534,27537,17641,16765,26990,27597,26980,30363,26080,27944,29930,28548,28296,42009,28538,21286,23396,21237,20891,22817,18112,18157,43079,58663,45499,46332,36747,50470,57976,53548,45302,40325,47786,36551,31733,34384,31358,32206,25637,22810,36424,36441,36759,34562,35826,36122,35929,36016,32534,31756,31282,30890,30309,30880
6.01_806.59,PC 33:0|PC 16:0_17:0,[M+CH3COO]-,CNHYMCCAIZQMPA-UHFFFAOYNA-N,806.5927,6.015,52647,45473,38794,44996,46050,78729,61494,52749,49987,58667,43575,58507,71680,51565,40013,43041,54308,35092,26821,23892,23059,23179,16250,25676,19623,32558,27718,27431,23608,23146,34950,26857,24238,29025,26985,29678,33798,29783,30476,34385,30121,32567,37838,39310,30609,30935,31996,44019,44086,46240,33567,59877,41199,49804,1575,1838,1909,1460,1620,771,1470,40348,42126,40795,39385,39134,38328,38481
5.53_804.58,PC 33:1 ,[M+CH3COO]- ,GXTATYLPYLLNLV-MGIDVFSBSA-N,804.577,5.532,53449,54330,50126,52132,69294,64667,60052,58776,64282,64471,52918,67262,95830,61797,47443,47138,71962,45046,51403,49550,50854,50951,40353,58293,46748,59153,53252,65047,50946,42571,49586,45531,49257,60697,51243,51523,47355,56891,50278,52596,50624,56441,58275,58431,44471,51419,52244,51704,63901,61092,49076,65852,52010,49719,12351,12219,12755,12555,13401,13039,13134,59729,59527,57415,55975,57461,54702,55771
4.99_802.56,PC 33:2 ,[M+CH3COO]-,SBNDHGBVMZMSNL-UESLNCBNSA-N,802.5606,4.993,15312,10189,17245,13650,17297,13614,21067,16635,19294,16055,14553,16521,30954,15622,16472,15057,15132,10673,12761,12604,12181,16007,13341,19643,13294,15762,13816,23838,13693,10791,12998,11365,14577,16718,10942,12708,18932,25508,18284,15723,14739,19977,24569,18281,17549,17666,20320,13890,18912,19833,15213,21223,15050,12380,23502,23348,23967,24125,24263,24127,24430,17887,17619,17612,16174,15953,16131,16768
3.68_794.50,PC 33:6|PC 11:0_22:6,[M+CH3COO]-,RNLAHSGFLLQJSH-ICTPBGECNA-N,794.499,3.681,1001,744,729,1115,1250,829,1312,558,1117,621,920,1180,2669,807,656,708,1938,1044,564,1154,885,462,1963,2056,504,827,720,461,574,580,635,296,329,4368,627,560,1086,1787,1049,604,686,1585,1308,1092,1168,711,1186,1261,1384,1354,1597,763,1166,975,278,367,332,354,62,288,403,1265,1216,1193,1110,1151,1147,1020
6.48_820.61,PC 34:0 ,[M+CH3COO]-,PZNPLUBHRSSFHT-RRHRGVEJSA-N,820.6098,6.477,76527,48357,63753,76489,62287,61811,67522,64459,52478,62673,65247,64589,67496,58314,76548,63205,52765,68397,56343,60132,61355,54477,57145,65444,57545,73799,66506,64619,57113,60267,68984,68090,75708,77119,73014,68931,68551,67726,65311,64525,76440,61986,63013,63739,70883,69904,67037,74395,80116,88650,78445,70234,84039,82240,36502,35685,36488,34325,35619,35693,36700,74298,72851,69420,68107,68592,67113,68055
5.86_818.60,PC 34:1 ,[M+CH3COO]- ,WTJKGGKOPKCXLL-VYOBOKEXSA-N,818.5954,5.861,1363498,1374220,1446523,1655921,1640609,1405474,1341420,1336580,1388473,1432445,1370806,1411539,1876649,1431269,1365664,1559772,1737609,1506303,1993069,2235212,2113115,1926135,1921076,1837175,2279878,2343330,2197479,1611403,2215943,1740391,1999947,1880195,2033407,2483955,2133251,1815295,1634467,2088324,1870998,2085583,1822378,2251192,1828094,2000913,2031037,2220219,1969258,1990918,2221556,2090537,2016877,1851710,2011813,1902985,974682,977571,996382,991219,1053696,1053524,1036995,1944400,1925144,1898013,1824071,1852110,1796100,1813185
5.33_816.58,PC 34:2 ,[M+CH3COO]- ,JLPULHDHAOZNQI-ZTIMHPMXSA-N,816.5774,5.33,962440,525941,1139829,779359,585366,571639,1119711,765903,828954,804432,845406,620561,1674895,885686,1088676,1203412,934949,631062,966903,1070392,875410,1281469,945590,1028389,1227734,1315281,1209535,1012800,1152841,766460,1167699,930899,1082564,1109382,783179,981768,1066046,1444840,1202993,1249368,811162,1358420,1307011,1178120,1344391,1295158,1237621,1010255,1290492,1290713,1102071,1309178,1017538,966256,1966145,1980621,2019321,2034368,2127241,2101935,2069246,1127439,1103463,1070479,1037439,1030495,990810,1001417
4.88_814.56,PC 34:3 ,[M+CH3COO]-,CNNSEHUKQJCGTE-UPPWDXJYSA-N,814.5615,4.882,385327,312841,330817,223071,240079,336931,386871,266021,303578,312017,260443,231892,655087,336815,269890,369051,402505,180154,318282,285816,181841,333994,149417,182468,248203,295552,350020,175838,320763,199222,297869,244538,165369,271876,235807,305137,187108,207592,188175,272131,160750,218555,256294,266527,199986,214162,201689,254859,322528,242638,250963,426505,239933,217339,54433,54007,54991,53998,55073,54519,54734,290525,284358,280180,278430,284917,276059,273861
4.59_812.55,PC 34:4 ,[M+CH3COO]-,YWDDIWXKFJEMKF-JTZVLWBESA-N,812.5457,4.587,89101,94668,77868,82641,115732,126944,79878,115174,146019,111376,82379,106964,99472,103613,57286,73843,81505,59015,144045,154998,106432,125595,87912,67169,133489,144729,160409,110677,149577,96656,111251,94332,56062,93870,87001,96588,138013,145874,129668,160989,111841,169832,180012,204937,112139,135168,131643,151025,133548,113901,82069,156581,96070,100574,13666,12959,13727,13014,12815,12940,13416,123966,123309,118790,114545,115022,110763,111903
4.36_812.55,PC 34:4|PC 16:1_18:3,[M+CH3COO]-,MMUCLZZSNHBNFL-YTVYCYEUNA-N,812.5461,4.36,22198,24285,19430,18284,33587,28861,19910,23202,30701,22330,17329,26559,33119,15448,13406,19155,19548,8691,24743,18087,17102,19337,11174,13494,18989,19347,22177,18856,20892,15023,12755,13256,9436,13233,16800,14427,26494,28262,26813,33983,22861,31112,35335,38035,22302,24128,26225,26941,22945,18852,19881,26168,16926,15108,1181,1063,1089,1109,945,1156,1055,23025,22931,23649,21537,21203,20918,21087
4.22_810.53,PC 34:5|PC 14:0_20:5,[M+CH3COO]-,WCNDCUHEAPXSRE-WVLIMAHDNA-N,810.5305,4.22,43558,62445,47525,59276,120997,83666,51077,95598,129451,56882,49965,107338,44185,47467,39817,42818,29421,38827,93845,86779,87542,63446,87601,48966,99696,89940,86063,98071,80494,73884,51755,50076,45507,42356,39424,42161,174325,136526,174195,146182,133317,187036,178734,169282,99285,136895,170070,163539,59607,84970,58162,66258,65956,72286,851,781,947,889,1096,898,1066,93588,94021,94937,90648,93791,89982,89487
6.09_834.62,PC 35:0|PC 17:0_18:0,[M+CH3COO]-,YJWIMUXYXBHXDA-UHFFFAOYNA-N,834.6237,6.087,8783,13899,6460,16137,13272,13632,7563,11578,11788,15835,10888,13880,11875,13519,8989,12580,13942,21684,18505,21751,21273,10787,16337,11921,17806,23841,18504,9990,18077,16115,15155,13675,11292,21452,20967,12757,10705,11866,13245,16888,15154,15038,12730,15362,9882,13887,12760,15229,14144,11379,11528,9231,13642,12052,1228,926,1675,1082,1623,1369,1125,16010,14406,14414,14123,14710,13789,14039
6.20_832.61,PC 35:1 ,[M+CH3COO]-,MFHIZGSSDZJFKD-IYEJTHTFSA-N,832.6094,6.201,44056,40440,41255,47792,54965,54069,46649,48305,49413,43479,40910,51306,52047,40343,37182,39707,44439,37999,47774,46750,45232,44388,36578,45157,48385,56836,50736,51060,49670,41319,46213,42021,40243,49315,40542,42815,38085,51063,45548,47567,39494,46883,47271,50046,39853,45638,49081,49953,55741,48354,41635,54093,43629,48350,16248,16681,17172,17141,18153,16463,17719,49576,49329,47861,46908,46307,46887,45976
5.65_830.59,PC 35:2 ,[M+CH3COO]- ,ZSKWZJYUVZYDQU-WESJWMGVSA-N,830.5921,5.654,24707,19175,26927,26224,31728,25277,30090,28771,28301,24506,23881,31964,45814,23079,22685,23991,24632,19264,26757,26143,22159,29407,20595,25410,28033,32510,29293,30601,29247,21454,26222,20430,21873,26280,20475,20650,25169,34265,30417,33140,23127,32160,33565,31437,28712,31097,33186,29710,29759,29608,25064,33323,23835,23617,59627,58817,59312,57212,60774,60829,61069,29483,29180,27990,27957,27329,27213,26469
4.92_826.56,PC 35:4 ,[M+CH3COO]-,LYNZMLHNPYEREG-ZHMZGHMTSA-N,826.5608,4.922,16664,16040,14687,17584,18341,21851,17381,17828,20807,16720,16898,17893,24892,14529,14710,16820,16565,13629,16999,17177,15742,17691,13748,17128,17001,19272,20005,17318,17433,14379,17163,16073,15280,18359,14656,15599,17639,20975,18430,17628,14812,21611,21804,17940,15590,18601,20018,17579,19749,19137,13887,21032,16345,14216,16680,16542,16796,16183,16585,16398,17747,19360,18700,17149,17723,17324,16908,16718
6.54_846.63,PC 36:1 ,[M+CH3COO]- ,ATHVAWFAEPLPPQ-VRDBWYNSSA-N,846.6251,6.543,361176,266459,353998,393601,325523,282848,332963,293975,280888,326356,331587,293822,313009,309785,370802,348455,279746,401882,423640,485864,474501,393925,444208,438892,498693,519739,470891,436852,477884,413813,451920,475203,471380,599932,549087,444689,339219,459876,374964,433312,406952,389761,378668,400071,427276,450864,410023,416541,564540,507168,467092,428721,478701,473059,308303,311482,316527,310185,324048,322531,318246,437290,432092,425925,419921,414730,409645,408249
6.01_844.61,PC 36:2 ,[M+CH3COO]- ,SNKAWJBJQDLSFF-NVKMUCNASA-N,844.609,6.013,206441,85700,230666,173077,124406,110525,196857,145026,151720,115939,167295,130059,291971,140342,171228,172626,169993,149852,248140,292548,240200,331664,277929,262603,347263,375383,312790,231402,319144,232778,329674,247539,286566,314028,218027,254091,269416,371912,294092,316644,197385,331918,317165,285383,336478,337814,335211,256732,321071,328033,285955,330008,282413,248549,1484547,1455805,1508276,1469346,1556198,1558721,1533036,266321,255227,254169,239656,247356,239212,236059
5.40_842.59,PC 36:3 Isomer A ,[M+CH3COO]- ,YPAZQMWFRMHBBM-CLKMJQEKSA-N,842.5938,5.404,121134,81871,161044,119324,122810,78647,127746,114148,101397,114256,106755,97507,142800,121539,136322,141878,77507,99885,206986,209222,175544,249973,183618,168083,279521,226776,228330,164020,260717,154713,200084,186620,210853,222450,172519,177917,161096,258182,237435,272843,158750,245458,209717,231925,249001,262710,268608,214921,193927,211823,204868,197604,190955,146518,187407,194582,198822,197212,208058,216693,212779,182092,184463,183836,173345,175585,174535,177486
5.51_842.59,PC 36:3 Isomer B ,[M+CH3COO]- ,YPAZQMWFRMHBBM-CLKMJQEKSA-N,842.5931,5.511,107194,74307,93051,90008,76450,99352,115020,70433,94870,71580,94092,69061,167339,75020,66153,98046,112873,70263,146784,142148,109137,167247,97168,106188,137648,167046,184942,78562,163068,108890,143131,112869,98025,135248,93128,121730,88903,123915,122704,143596,88201,141428,128617,119913,124144,142171,133274,129007,154879,126366,104091,155200,120125,97620,497346,506103,522711,513188,540574,538906,539476,116889,119974,117331,111965,111525,111411,110326
4.94_840.58,PC 36:4 Isomer A ,[M+CH3COO]-,IIZPXYDJLKNOIY-JXPKJXOSSA-N,840.5778,4.944,153047,128209,158013,109145,129801,125371,158731,106281,103225,125797,104828,94522,275397,117441,144654,146579,153696,92508,182549,156165,126216,207106,112989,145716,179726,172068,194681,157745,207296,117754,189816,175107,189842,194632,184420,183571,157051,273885,199816,250669,141486,211727,213324,198711,234010,221927,223596,202194,225226,228732,209380,271022,199102,161629,296596,308601,309908,305984,307694,314034,309574,172907,171932,164653,161077,158779,159300,161264
5.23_840.58,PC 36:4 Isomer B ,[M+CH3COO]-,IIZPXYDJLKNOIY-JXPKJXOSSA-N,840.5776,5.234,642637,717115,486584,819356,725701,903706,565177,771731,825757,764886,732344,735418,1005179,611203,550543,677550,806517,675905,717420,745462,696509,642205,668981,656562,762958,887865,830625,586986,709991,706306,737977,718857,604570,715139,646575,594912,709474,685840,688288,647081,597815,890605,775387,709184,550765,707773,713824,674453,722457,723542,583691,688803,668379,700022,1182434,1197556,1240962,1232399,1304215,1285244,1281163,764665,770622,739566,707569,717962,710078,710066
4.49_838.56,PC 36:5 Isomer A ,[M+CH3COO]-,DYDDZDMJSQYFGN-OIVUZXIWSA-N,838.5608,4.487,68718,47254,67608,38000,55865,46717,78518,52891,52524,55982,44163,47054,154765,51601,66287,66381,66760,33527,67475,55455,44652,84461,35717,51544,60469,58610,72873,51647,76183,37211,70688,66253,57714,68619,63576,81044,59778,89218,72843,113278,58322,79510,89194,88676,78468,81007,80261,79493,98488,92143,85195,135113,79727,59481,8464,8089,8180,8188,8195,8201,7918,68429,65508,64267,63787,63336,61265,61920
4.81_838.56,PC 36:5 Isomer B ,[M+CH3COO]-,DYDDZDMJSQYFGN-OIVUZXIWSA-N,838.5621,4.811,1457365,1567977,1443597,1760388,1662020,1875218,1547955,1728211,1940349,1508393,1602298,1695679,2370355,1355446,1239018,1502694,1440832,1373309,2130543,2265735,1969131,2136940,2144567,1679635,2489746,2537314,2355790,1713421,2211283,1946796,2123816,1818158,1937684,1935301,1571483,1742467,2570967,2340904,2428730,2153558,1887895,3003464,2455710,2250978,2058032,2372462,2322280,2509106,2037429,2292228,1695091,2060437,1942594,2172781,110480,109724,112589,110717,114764,113035,113766,2143325,2078069,1987421,1968196,1964957,1935948,1970562
4.62_838.55,PC 36:5|PC 18:1_18:4,[M+CH3COO]-,VTBLOCMXAXXMCO-UNBGXMKUNA-N,838.5499,4.616,20415,9035,14252,17003,120460,26300,15578,105154,102322,16746,16944,10766,51560,18740,11238,20925,11125,11249,87213,73913,17251,67586,21409,13401,27417,33060,15457,79381,75303,16149,55653,17273,7429,13537,48103,58766,22585,16858,21454,11985,13365,95940,26785,103491,18196,11156,30988,102449,14459,20536,46438,22963,21175,54210,265,1345,1907,1244,3465,1741,2244,75514,27715,18814,18606,20150,23698,23785
4.45_836.55,PC 36:6|PC 14:0_22:6,[M+CH3COO]-,HAIPHKFLSXSDAN-FEOZPROANA-N,836.5467,4.445,69409,88618,56459,97189,168754,120224,93655,96728,148685,110508,93867,153132,78100,63696,61139,81632,34430,48150,72971,59945,72418,54877,75824,66017,76181,74398,68608,90748,61760,78211,42843,39506,42721,33089,25458,22412,127856,126017,146091,82861,93327,150346,140941,102970,63965,97727,132873,111290,51028,69354,66681,56313,44818,41080,3563,3796,4280,3302,3859,3614,4066,101134,81328,83153,82951,87274,83143,83154
4.29_836.55,PC 36:6|PC 16:1_20:5,[M+CH3COO]-,IITWSVMUNFGFQI-MPAQOSGJNA-N,836.5467,4.295,55550,89994,56275,78136,160255,104941,46045,95217,129852,74675,66102,102019,66104,50107,45770,56424,38116,47179,160946,145038,140930,124971,116234,76673,183454,148996,156244,145631,147692,137798,97428,96431,94167,73363,81064,87290,217952,203219,243854,208917,192931,259475,208703,238305,156322,201842,221805,250355,106887,145508,87916,105745,110048,133879,3506,3618,3154,3565,3436,2699,3709,132620,133514,131365,127036,126733,125291,124904
4.11_836.55,PC 36:6|PC 18:3_18:3,[M+CH3COO]-,XXKFQTJOJZELMD-RSLAUBRINA-N,836.5457,4.113,61422,42600,36933,19857,27829,47984,60733,31475,32184,29772,23401,24694,59556,24890,27088,35477,27892,11672,19208,11547,8974,19030,4203,13227,10085,10677,17386,7332,16150,8154,16347,19353,8188,13216,22038,30471,10877,10423,11487,21508,11880,12565,15775,15623,10735,12520,10647,19096,22110,15094,18574,44043,19574,13687,642,800,511,774,665,617,735,24875,24666,23571,24526,24118,23313,22882
6.88_860.64,PC 37:1|PC 19:0_18:1,[M+CH3COO]-,WMCPHMOQTITNBG-LNVKXUELNA-N,860.639,6.877,7532,5262,7708,8231,7531,6788,7942,7632,7846,6754,7206,7830,6773,6443,7803,6107,5839,8048,5520,6233,7366,6588,6059,11095,5409,6836,6296,10558,6551,5918,6459,7103,8367,9514,8588,7955,5937,8039,6867,6588,8652,6383,6696,6616,7842,6915,6915,6292,8699,9918,8062,7931,7855,7678,2412,2333,2452,1923,2272,1675,1123,8137,8225,7717,7463,7642,7761,7746
6.36_858.62,PC 37:2 ,[M+CH3COO]-,MCZUABDVGPPWPM-HJTCUGKVSA-N,858.6212,6.362,7179,3300,7532,5831,5329,5270,8724,6570,6946,4832,5947,5917,9868,5043,5526,4656,6305,4700,5812,6178,5534,8012,6069,7725,6217,7964,6934,8647,6375,5237,7072,5718,7003,6478,4242,6592,7290,8919,8546,6635,6526,8689,8710,6919,7674,7182,8775,6988,7969,8635,6595,9139,6732,6280,9601,9954,9329,10047,10136,10034,10484,6924,7348,6760,6508,6456,6804,6702
5.57_854.59,PC 37:4 ,[M+CH3COO]- ,QRPUCJXFPYFTMB-FBFLODOBSA-N,854.5881,5.572,17645,15994,11164,19900,20675,26870,15055,20639,21814,18664,20511,21914,27580,14142,13543,11380,18801,14529,16095,16755,17644,16266,13296,17387,17635,20348,18725,16741,14814,17527,16571,13555,12483,17059,11779,12990,15506,18169,16157,16481,13788,20149,19001,16232,13745,15826,17797,16316,15435,15734,11927,17714,14031,13052,27151,27992,27048,26642,27756,26884,27549,17142,19481,17908,17420,16652,18557,16433
5.01_852.58,PC 37:5|PC 17:0_20:5,[M+CH3COO]-,QCLMKIDSCGHEET-ODSRIWODNA-N,852.5767,5.012,33608,35628,30878,43070,46527,49812,33232,40134,49372,32952,35123,47441,47547,28718,25650,29490,38969,27795,56407,60154,48823,54732,45300,37763,58685,67166,57487,44041,54924,49907,47377,39792,36078,38942,31893,36162,53131,52160,55368,54426,40884,66627,58719,61722,44828,53456,55926,59256,43349,44204,33887,45538,38894,40399,2447,2680,2730,2743,2487,2694,2558,46401,47284,46247,44841,44420,43170,45015
7.18_874.66,PC 38:1|PC 20:0_18:1,[M-H]-,,874.656,7.183,27095,15873,39984,34825,19704,15608,34188,26399,25724,27779,28807,25848,21238,28250,34985,23038,16740,34947,13014,13861,19104,17063,20261,32998,14910,21443,16648,34039,14332,19764,23373,23459,31762,28260,25048,25589,24603,29182,22371,17486,29589,17681,18518,19356,30130,21634,20688,19649,24166,35585,29947,20967,27455,25511,1469,1447,1551,10,2055,2584,11,27422,26419,25728,25879,26403,25428,25318
6.59_872.64,PC 38:2 ,[M+CH3COO]-,KXXLFCAPKGRXBT-FMJYHZMHSA-N,872.6404,6.593,23389,18288,25074,26588,26917,20374,22344,23651,22791,24058,23405,27691,21579,21353,22932,21499,15550,24199,22211,23389,23905,22107,21566,25362,23618,26492,23356,31618,24905,22364,23492,23031,23275,26826,22540,22469,18633,25278,23682,22486,24134,21424,19166,24867,22718,24395,23155,24090,22400,27919,22559,20037,22334,21305,26208,25020,25838,26118,25600,26691,26895,25515,25044,24059,23892,23858,23411,23179
6.15_870.62,PC 38:3 ,[M+CH3COO]- ,OJHJKEBRZSDTTL-VHWCKNCUSA-N,870.6219,6.154,14210,7146,12705,12964,10953,12228,14595,9780,10345,7521,11884,10092,21779,9288,8195,10516,15405,11931,20663,20794,18930,22898,18635,18630,21036,26531,26186,10596,24711,19632,21986,17717,15874,21472,16429,16735,12349,18536,17169,18335,12644,19387,17875,15998,17589,19475,20879,17559,22331,20380,16636,20391,18659,14464,283733,298288,301483,289239,308334,306876,300155,16735,17230,16401,15990,15912,15813,15659
6.01_870.62,PC 38:3|PC 18:1_20:2,[M+CH3COO]-,MGYXVNKVMWUCEN-RMSDNIJUNA-N,870.6246,6.014,26441,23573,31400,32805,36546,25200,31223,28805,31242,29883,27337,36708,40670,25228,23824,24833,29087,27147,38418,34829,32686,35576,28463,34864,39692,40182,34457,37278,40230,34300,35612,29349,30245,32474,26824,27454,30312,41138,38212,32969,29340,36580,31798,40058,33428,36263,36282,33317,29243,32265,28467,28444,27225,25383,12956,13004,13434,13097,13358,13633,13114,33984,34214,33484,32302,32456,31808,31779
5.91_868.61,PC 38:4 Isomer A ,[M+CH3COO]-,PSVRFUPOQYJOOZ-QNPWAGBNSA-N,868.6086,5.914,116252,91318,84559,138558,119122,142086,85175,117120,113028,98954,115892,126275,167200,92530,84785,94188,135334,140242,126177,127136,136816,119979,153766,136417,138620,156013,148062,97108,136930,148779,157897,147453,138384,160927,145383,128003,120097,118017,112604,101552,103815,142060,126481,105872,91667,112013,118776,111892,128307,141758,113939,120860,136309,143396,685512,699917,707899,694020,744496,726597,727628,132548,131927,128861,123680,125391,122672,123768
5.28_866.59,PC 38:5 Isomer A ,[M+CH3COO]-,YLWBKBDNHWQEFU-YJXJLLHLSA-N,866.5934,5.275,364833,409759,349085,483256,474025,426638,370824,378660,359146,413183,374641,453841,474019,353094,295687,386206,413582,360634,485889,506745,480564,483169,515093,363815,602411,563001,538473,343066,517746,525835,507864,462999,440750,486332,419448,374093,422394,415764,463357,394466,356530,525418,426032,417254,349105,437780,453520,439957,383327,396282,352738,379428,388183,366525,169136,169985,173382,171051,184270,180847,178560,463931,461704,450250,437271,430394,428694,427700
5.48_866.59,PC 38:5 Isomer B ,[M+CH3COO]-,YLWBKBDNHWQEFU-YJXJLLHLSA-N,866.5934,5.477,578058,513189,497583,603699,514255,550528,561892,533788,623197,491904,564426,598230,754055,457389,552491,553393,501463,516321,520327,548992,517368,528978,596743,458390,645724,633358,572816,413486,551230,571000,580746,537668,510939,537404,482690,456754,518496,491372,521287,465711,429075,612398,510473,460571,435578,534557,490437,479810,484730,494668,430555,467225,491462,483105,68458,66282,68812,71492,73118,73823,73143,563600,565672,554573,533362,534019,528911,531902
5.01_864.58,PC 38:6 ,[M+CH3COO]- ,PLZBTDKJYHXIEW-DZUXOTHRSA-N,864.5764,5.012,1467019,3732562,4223311,1319875,3842092,4268546,4969872,3859619,3767161,4014099,4574755,4054916,5020533,4591543,3773740,4224499,3987550,4067422,2651972,2744766,2428453,3110193,3229449,2955163,3257149,3222594,2932767,2827766,2662899,3142783,3949256,3443515,3194698,3252331,2457779,2854004,3189685,2946251,3077795,2223954,2172513,3056844,2803059,2353981,2442812,2703179,2772656,2838094,2938789,3037209,3195398,3392300,2807465,3326646,255577,263391,269655,262626,272045,276711,277162,3799195,3729812,3700864,3564201,1123009,3556731,3607647
4.87_864.58,PC 38:6|PC 18:1_20:5,[M+CH3COO]-,PAQLDAUPMINLDS-JDAPHBBENA-N,864.5773,4.872,268836,319820,282384,432842,517546,362706,259559,381818,406070,279806,285975,487087,412706,237911,208275,241597,265457,371348,756512,755492,755972,677847,786618,504970,1055489,801590,785859,505422,864242,741908,677821,591362,710067,594615,561197,507032,784020,756469,944032,800690,707312,1026365,720991,749394,684381,859401,890265,944821,510479,695666,498938,479207,626509,596103,18629,16605,18796,16034,19968,17447,17473,608679,617347,597067,578861,570369,565962,572720
4.53_862.56,PC 38:7|PC 16:1_22:6,[M+CH3COO]-,DLRNZUPJXRVWRW-LKDYKOESNA-N,862.5619,4.531,162847,171995,147389,196372,294753,204926,155741,176921,195960,185142,176818,226003,197856,158000,133576,158083,128638,124375,171551,163590,170716,181557,167807,137919,216929,181496,171332,198534,160916,197739,154079,135960,133687,118308,116454,101672,238578,237487,267900,198567,191084,259900,220717,206030,173711,215522,233543,238757,151114,172050,172652,155011,146384,159174,5342,5146,5303,4623,5236,4934,4789,204109,190460,187958,185327,188168,183264,182121
